,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000002.SZ,20200930,28.71,28.71,27.66,28.02,28.29,-0.27,-0.9544,489833.22,1378172.924
1,000002.SZ,20200929,28.43,28.77,28.29,28.29,28.4,-0.11,-0.3873,412967.07,1176463.958
2,000002.SZ,20200928,27.8,28.66,27.76,28.4,27.62,0.78,2.824,669627.73,1898828.553
3,000002.SZ,20200925,28.01,28.35,27.4,27.62,28.1,-0.48,-1.7082,697229.81,1936770.307
4,000002.SZ,20200924,28.57,28.65,27.98,28.1,28.7,-0.6,-2.0906,564596.47,1594343.353
5,000002.SZ,20200923,29.1,29.2,28.55,28.7,28.96,-0.26,-0.8978,386288.56,1110921.939
6,000002.SZ,20200922,28.96,29.38,28.7,28.96,29.14,-0.18,-0.6177,583742.38,1695439.445
7,000002.SZ,20200921,29.29,29.56,29.04,29.14,29.3,-0.16,-0.5461,725102.47,2124799.243
8,000002.SZ,20200918,28.28,29.3,28.08,29.3,28.06,1.24,4.4191,1615105.5,4683407.502
9,000002.SZ,20200917,28.21,28.43,27.95,28.06,28.19,-0.13,-0.4612,565622.54,1592888.069
10,000002.SZ,20200916,27.92,28.38,27.66,28.19,27.87,0.32,1.1482,554701.46,1560700.433
11,000002.SZ,20200915,27.65,28.09,27.48,27.87,27.7,0.17,0.6137,584232.26,1625514.791
12,000002.SZ,20200914,28.01,28.3,27.51,27.7,28.0,-0.3,-1.0714,588402.74,1630471.94
13,000002.SZ,20200911,28.46,28.46,27.9,28.0,28.46,-0.46,-1.6163,541108.37,1519932.745
14,000002.SZ,20200910,28.36,29.1,28.36,28.46,27.98,0.48,1.7155,954676.62,2741079.761
15,000002.SZ,20200909,28.1,28.4,27.65,27.98,28.3,-0.32,-1.1307,645614.25,1807367.85
16,000002.SZ,20200908,28.6,29.17,28.16,28.3,28.43,-0.13,-0.4573,964997.32,2760457.179
17,000002.SZ,20200907,27.95,29.05,27.95,28.43,28.07,0.36,1.2825,1432294.21,4103510.527
18,000002.SZ,20200904,27.56,28.15,27.46,28.07,27.81,0.26,0.9349,816185.97,2279067.498
19,000002.SZ,20200903,27.6,28.2,27.42,27.81,27.52,0.29,1.0538,799220.55,2224433.222
20,000002.SZ,20200902,27.4,27.71,27.13,27.52,27.22,0.3,1.1021,730022.97,2002238.835
21,000002.SZ,20200901,27.18,27.23,26.93,27.22,27.27,-0.05,-0.1834,524296.25,1420467.874
22,000002.SZ,20200831,27.61,27.85,27.18,27.27,27.57,-0.3,-1.0881,803902.43,2211848.528
23,000002.SZ,20200828,27.03,27.74,27.03,27.57,26.95,0.62,2.3006,891557.21,2453608.315
24,000002.SZ,20200827,27.09,27.17,26.54,26.95,27.08,-0.13,-0.4801,541847.19,1451853.794
25,000002.SZ,20200826,27.12,27.43,26.96,27.08,27.19,-0.11,-0.4046,520893.56,1414456.519
26,000002.SZ,20200825,27.19,27.45,27.12,27.19,27.13,0.06,0.2212,489635.32,1334277.356
27,000002.SZ,20200824,27.58,27.75,27.1,27.13,27.36,-0.23,-0.8406,566269.2,1549031.069
28,000002.SZ,20200821,27.74,27.76,27.21,27.36,27.48,-0.12,-0.4367,515551.08,1412631.491
29,000002.SZ,20200820,27.35,27.53,27.16,27.48,27.44,0.04,0.1458,568975.97,1555164.387
