,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
50,600031.SH,20200722,22.45,22.55,21.61,21.79,22.44,-0.65,-2.8966,1350299.95,2967048.964
51,600031.SH,20200721,22.79,22.99,22.23,22.86,22.75,0.11,0.4835,1030077.3,2328986.18
52,600031.SH,20200720,21.15,22.84,21.0,22.75,20.85,1.9,9.1127,1759485.54,3888774.534
53,600031.SH,20200717,20.49,21.15,20.3,20.85,20.45,0.4,1.956,814126.03,1699080.312
54,600031.SH,20200716,21.5,21.98,20.4,20.45,21.47,-1.02,-4.7508,1139627.81,2412129.048
55,600031.SH,20200715,21.5,22.06,21.3,21.47,21.02,0.45,2.1408,1446881.59,3136147.986
56,600031.SH,20200714,21.6,21.6,20.66,21.02,21.6,-0.58,-2.6852,1109439.45,2335220.657
57,600031.SH,20200713,20.5,21.6,20.47,21.6,20.44,1.16,5.6751,1506124.66,3192356.761
58,600031.SH,20200710,20.92,21.16,20.34,20.44,20.96,-0.52,-2.4809,1039101.8,2152925.676
59,600031.SH,20200709,20.7,20.96,20.31,20.96,20.64,0.32,1.5504,1301955.8,2682957.896
60,600031.SH,20200708,20.83,20.85,20.35,20.64,20.85,-0.21,-1.0072,1196256.3,2458884.482
61,600031.SH,20200707,21.5,21.79,20.74,20.85,21.1,-0.25,-1.1848,1280994.2,2699792.084
62,600031.SH,20200706,20.56,21.81,20.56,21.1,20.43,0.67,3.2795,1350595.23,2854308.013
63,600031.SH,20200703,20.37,20.88,20.12,20.43,20.22,0.21,1.0386,1175784.98,2407758.157
64,600031.SH,20200702,19.38,20.3,19.34,20.22,19.38,0.84,4.3344,1562526.18,3130163.05
65,600031.SH,20200701,18.77,19.54,18.77,19.38,18.76,0.62,3.3049,1061602.61,2046748.925
