,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000061.SZ,20200930,7.25,7.31,7.15,7.23,7.31,-0.08,-1.0944,50200.84,36280.136
1,000061.SZ,20200929,7.1,7.35,7.1,7.31,7.09,0.22,3.103,72638.99,52781.125
2,000061.SZ,20200928,7.3,7.33,7.09,7.09,7.27,-0.18,-2.4759,69437.0,49858.593
3,000061.SZ,20200925,7.39,7.42,7.27,7.27,7.39,-0.12,-1.6238,70170.48,51308.201
4,000061.SZ,20200924,7.51,7.62,7.37,7.39,7.52,-0.13,-1.7287,89098.02,66512.534
5,000061.SZ,20200923,7.57,7.6,7.51,7.52,7.57,-0.05,-0.6605,49663.02,37437.025
6,000061.SZ,20200922,7.75,7.75,7.54,7.57,7.77,-0.2,-2.574,86616.91,66089.263
7,000061.SZ,20200921,7.71,7.83,7.68,7.77,7.71,0.06,0.7782,102466.93,79579.034
8,000061.SZ,20200918,7.53,7.73,7.52,7.71,7.53,0.18,2.3904,111742.62,85481.466
9,000061.SZ,20200917,7.65,7.65,7.47,7.53,7.63,-0.1,-1.3106,79908.0,60171.066
10,000061.SZ,20200916,7.65,7.74,7.57,7.63,7.65,-0.02,-0.2614,63032.97,48216.4
11,000061.SZ,20200915,7.63,7.68,7.49,7.65,7.63,0.02,0.2621,96271.55,72807.967
12,000061.SZ,20200914,7.7,7.74,7.6,7.63,7.68,-0.05,-0.651,95140.36,72735.265
13,000061.SZ,20200911,7.58,7.69,7.55,7.68,7.6,0.08,1.0526,93448.87,71440.566
14,000061.SZ,20200910,7.6,7.69,7.44,7.6,7.58,0.02,0.2639,141741.39,107584.378
15,000061.SZ,20200909,7.6,7.77,7.55,7.58,7.7,-0.12,-1.5584,114362.37,87127.106
16,000061.SZ,20200908,7.65,7.71,7.5,7.7,7.65,0.05,0.6536,142559.64,108406.24
17,000061.SZ,20200907,7.8,7.91,7.61,7.65,7.82,-0.17,-2.1739,134293.19,104204.069
18,000061.SZ,20200904,7.93,7.93,7.76,7.82,7.96,-0.14,-1.7588,128412.3,100304.171
19,000061.SZ,20200903,8.12,8.12,7.92,7.96,8.1,-0.14,-1.7284,136546.94,109059.403
20,000061.SZ,20200902,8.06,8.22,8.06,8.1,8.06,0.04,0.4963,142538.95,115721.654
21,000061.SZ,20200901,8.12,8.12,7.95,8.06,8.12,-0.06,-0.7389,133821.02,107109.077
22,000061.SZ,20200831,8.14,8.17,8.07,8.12,8.08,0.04,0.495,160588.75,130487.406
23,000061.SZ,20200828,8.05,8.12,7.81,8.08,8.07,0.01,0.1239,218906.52,174259.181
24,000061.SZ,20200827,8.02,8.1,7.92,8.07,8.02,0.05,0.6234,126897.03,102027.467
25,000061.SZ,20200826,8.26,8.33,8.0,8.02,8.25,-0.23,-2.7879,295539.57,239829.373
26,000061.SZ,20200825,8.75,8.77,8.22,8.25,8.74,-0.49,-5.6064,456852.46,384830.399
27,000061.SZ,20200824,8.62,8.76,8.41,8.74,8.58,0.16,1.8648,351582.4,303610.538
28,000061.SZ,20200821,8.5,8.65,8.46,8.58,8.55,0.03,0.3509,326768.39,279099.192
29,000061.SZ,20200820,8.81,8.97,8.45,8.55,9.0,-0.45,-5.0,555438.17,481801.031
30,000061.SZ,20200819,8.75,9.27,8.63,9.0,8.85,0.15,1.6949,850482.69,767049.325
31,000061.SZ,20200818,8.62,9.1,8.58,8.85,8.61,0.24,2.7875,684040.29,606564.134
32,000061.SZ,20200817,8.49,8.65,8.32,8.61,8.49,0.12,1.4134,355994.72,303930.649
33,000061.SZ,20200814,8.73,8.79,8.36,8.49,8.69,-0.2,-2.3015,460036.49,390714.578
34,000061.SZ,20200813,8.37,8.83,8.29,8.69,8.37,0.32,3.8232,635411.18,550481.357
35,000061.SZ,20200812,8.25,8.48,8.18,8.37,8.28,0.09,1.087,259163.03,215727.204
36,000061.SZ,20200811,8.42,8.54,8.25,8.28,8.33,-0.05,-0.6002,286441.64,239869.472
37,000061.SZ,20200810,8.2,8.39,8.12,8.33,8.19,0.14,1.7094,178546.82,147729.791
38,000061.SZ,20200807,8.35,8.47,8.12,8.19,8.36,-0.17,-2.0335,228703.14,189644.264
39,000061.SZ,20200806,8.55,8.57,8.25,8.36,8.58,-0.22,-2.5641,302849.54,253259.05
40,000061.SZ,20200805,8.31,8.62,8.22,8.58,8.46,0.12,1.4184,379550.98,319773.302
41,000061.SZ,20200804,8.71,8.94,8.4,8.46,8.68,-0.22,-2.5346,555993.04,483078.254
42,000061.SZ,20200803,8.48,8.74,8.4,8.68,8.42,0.26,3.0879,446411.01,382767.754
43,000061.SZ,20200731,8.4,8.5,8.3,8.42,8.46,-0.04,-0.4728,292602.38,245744.811
44,000061.SZ,20200730,8.15,8.48,8.15,8.46,8.17,0.29,3.5496,444562.56,371204.954
45,000061.SZ,20200729,8.08,8.17,7.97,8.17,8.07,0.1,1.2392,216765.45,175046.419
46,000061.SZ,20200728,8.14,8.17,7.98,8.07,8.12,-0.05,-0.6158,167721.03,134886.14
47,000061.SZ,20200727,8.02,8.26,7.98,8.12,7.95,0.17,2.1384,222978.73,181278.295
48,000061.SZ,20200724,8.17,8.38,7.8,7.95,8.24,-0.29,-3.5194,325895.01,265433.082
49,000061.SZ,20200723,8.44,8.44,8.12,8.24,8.49,-0.25,-2.9446,274961.54,227225.829
50,000061.SZ,20200722,8.38,8.58,8.27,8.49,8.46,0.03,0.3546,327724.85,276392.302
51,000061.SZ,20200721,8.54,8.56,8.31,8.46,8.49,-0.03,-0.3534,309070.28,260379.677
52,000061.SZ,20200720,8.26,8.51,8.15,8.49,8.2,0.29,3.5366,372787.9,312846.956
53,000061.SZ,20200717,8.08,8.35,8.08,8.2,7.96,0.24,3.0151,290181.08,237240.251
54,000061.SZ,20200716,8.35,8.42,7.91,7.96,8.28,-0.32,-3.8647,343618.62,281565.965
55,000061.SZ,20200715,8.8,8.8,8.26,8.28,8.77,-0.49,-5.5872,477829.34,404588.671
56,000061.SZ,20200714,9.1,9.19,8.4,8.77,9.02,-0.25,-2.7716,778500.16,677703.29
57,000061.SZ,20200713,8.56,9.1,8.46,9.02,8.4,0.62,7.381,787340.37,696131.963
58,000061.SZ,20200710,8.23,8.48,8.11,8.4,8.26,0.14,1.6949,697637.17,582133.799
59,000061.SZ,20200709,8.11,8.39,8.1,8.26,8.11,0.15,1.8496,490741.17,404209.551
60,000061.SZ,20200708,8.1,8.18,7.95,8.11,8.11,0.0,0.0,431989.44,348505.206
61,000061.SZ,20200707,7.87,8.16,7.66,8.11,7.78,0.33,4.2416,611661.47,486629.417
62,000061.SZ,20200706,7.49,7.8,7.49,7.78,7.46,0.32,4.2895,382720.94,293671.438
63,000061.SZ,20200703,7.41,7.54,7.37,7.46,7.42,0.04,0.5391,200369.83,149522.272
64,000061.SZ,20200702,7.39,7.45,7.33,7.42,7.35,0.07,0.9524,168412.94,124676.192
65,000061.SZ,20200701,7.39,7.39,7.32,7.35,7.41,-0.06,-0.8097,137464.4,100935.005
