,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000006.SZ,20200930,6.45,6.59,6.3,6.43,6.47,-0.04,-0.6182,262248.02,169234.316
1,000006.SZ,20200929,6.17,6.55,6.14,6.47,6.22,0.25,4.0193,314071.18,200084.828
2,000006.SZ,20200928,6.46,6.46,6.18,6.22,6.18,0.04,0.6472,210074.63,131803.592
3,000006.SZ,20200925,6.42,6.45,6.16,6.18,6.39,-0.21,-3.2864,193426.17,120809.152
4,000006.SZ,20200924,6.41,6.45,6.28,6.39,6.38,0.01,0.1567,259943.53,165679.293
5,000006.SZ,20200923,6.2,6.64,6.12,6.38,6.16,0.22,3.5714,447987.98,286400.558
6,000006.SZ,20200922,6.28,6.34,6.15,6.16,6.3,-0.14,-2.2222,228647.0,142437.012
7,000006.SZ,20200921,6.46,6.5,6.3,6.3,6.47,-0.17,-2.6275,470491.74,300861.196
8,000006.SZ,20200918,5.87,6.47,5.86,6.47,5.88,0.59,10.034,665557.34,418036.243
9,000006.SZ,20200917,5.88,5.93,5.8,5.88,5.9,-0.02,-0.339,145234.84,85077.355
10,000006.SZ,20200916,5.86,5.92,5.78,5.9,5.87,0.03,0.5111,170929.87,99831.275
11,000006.SZ,20200915,5.79,5.92,5.76,5.87,5.8,0.07,1.2069,161368.76,94073.159
12,000006.SZ,20200914,5.87,5.88,5.7,5.8,5.86,-0.06,-1.0239,171019.5,98865.737
13,000006.SZ,20200911,5.72,5.87,5.69,5.86,5.72,0.14,2.4476,172705.26,100459.3
14,000006.SZ,20200910,5.91,5.96,5.66,5.72,5.82,-0.1,-1.7182,213525.97,124120.424
15,000006.SZ,20200909,5.99,6.03,5.81,5.82,6.05,-0.23,-3.8017,215798.79,127381.868
16,000006.SZ,20200908,6.03,6.08,5.92,6.05,6.03,0.02,0.3317,190321.82,114240.099
17,000006.SZ,20200907,6.16,6.25,5.99,6.03,6.16,-0.13,-2.1104,241063.06,147790.018
18,000006.SZ,20200904,6.03,6.21,5.93,6.16,6.08,0.08,1.3158,226727.42,138187.571
19,000006.SZ,20200903,6.18,6.27,6.06,6.08,6.2,-0.12,-1.9355,284058.14,174699.416
20,000006.SZ,20200902,6.33,6.38,6.17,6.2,6.32,-0.12,-1.8987,198942.1,123956.682
21,000006.SZ,20200901,6.35,6.38,6.18,6.32,6.39,-0.07,-1.0955,306055.02,192083.706
22,000006.SZ,20200831,6.5,6.6,6.38,6.39,6.49,-0.1,-1.5408,279620.89,181628.218
23,000006.SZ,20200828,6.46,6.54,6.31,6.49,6.46,0.03,0.4644,330635.79,212647.928
24,000006.SZ,20200827,6.49,6.86,6.35,6.46,6.45,0.01,0.155,494265.59,321590.999
25,000006.SZ,20200826,7.14,7.16,6.42,6.45,7.13,-0.68,-9.5372,705629.11,471570.318
26,000006.SZ,20200825,7.29,7.37,7.06,7.13,7.25,-0.12,-1.6552,308988.49,221496.544
27,000006.SZ,20200824,7.4,7.4,7.08,7.25,7.38,-0.13,-1.7615,319239.59,230592.7
28,000006.SZ,20200821,7.3,7.54,7.21,7.38,7.38,0.0,0.0,390810.98,287765.754
29,000006.SZ,20200820,8.02,8.08,7.38,7.38,8.2,-0.82,-10.0,615611.22,473114.774
30,000006.SZ,20200819,8.48,8.68,8.2,8.2,8.48,-0.28,-3.3019,474917.91,401884.082
31,000006.SZ,20200818,8.36,8.57,8.14,8.48,8.36,0.12,1.4354,488633.72,407949.11
32,000006.SZ,20200817,8.15,8.43,8.04,8.36,8.15,0.21,2.5767,371658.36,307032.254
33,000006.SZ,20200814,8.03,8.19,7.98,8.15,8.07,0.08,0.9913,245723.49,198997.303
34,000006.SZ,20200813,8.14,8.16,7.85,8.07,8.13,-0.06,-0.738,267856.81,215546.557
35,000006.SZ,20200812,8.08,8.4,8.0,8.13,8.02,0.11,1.3716,431048.91,352543.999
36,000006.SZ,20200811,8.56,8.68,7.98,8.02,8.56,-0.54,-6.3084,540566.21,450347.928
37,000006.SZ,20200810,8.25,8.8,8.03,8.56,8.35,0.21,2.515,607499.53,514455.912
38,000006.SZ,20200807,8.46,8.66,8.18,8.35,8.56,-0.21,-2.4533,517468.56,434773.504
39,000006.SZ,20200806,8.76,9.06,8.47,8.56,8.82,-0.26,-2.9478,591253.12,512874.912
40,000006.SZ,20200805,8.82,9.29,8.2,8.82,9.04,-0.22,-2.4336,751889.7,661679.236
41,000006.SZ,20200804,9.4,9.89,9.01,9.04,9.11,-0.07,-0.7684,1236809.32,1165980.534
42,000006.SZ,20200803,8.6,9.11,8.4,9.11,8.28,0.83,10.0242,978090.12,864205.475
43,000006.SZ,20200731,7.72,8.37,7.6,8.28,7.75,0.53,6.8387,644414.8,514899.391
44,000006.SZ,20200730,7.6,7.88,7.46,7.75,7.53,0.22,2.9216,566904.33,436746.253
45,000006.SZ,20200729,7.23,7.56,7.12,7.53,7.22,0.31,4.2936,396943.33,293521.852
46,000006.SZ,20200728,7.34,7.4,7.14,7.22,7.24,-0.02,-0.2762,279972.84,202741.436
47,000006.SZ,20200727,7.24,7.46,7.05,7.24,7.32,-0.08,-1.0929,367199.02,266011.021
48,000006.SZ,20200724,7.34,7.9,7.3,7.32,7.33,-0.01,-0.1364,688867.47,524221.475
49,000006.SZ,20200723,7.45,7.55,7.14,7.33,7.6,-0.27,-3.5526,390333.06,286199.569
50,000006.SZ,20200722,7.58,7.91,7.47,7.6,7.74,-0.14,-1.8088,638961.77,489648.318
51,000006.SZ,20200721,7.42,7.79,7.3,7.74,7.38,0.36,4.878,558489.68,419719.33
52,000006.SZ,20200720,7.18,7.47,7.18,7.38,7.14,0.24,3.3613,437542.96,320660.915
53,000006.SZ,20200717,7.11,7.23,6.85,7.14,7.15,-0.01,-0.1399,482524.16,340811.641
54,000006.SZ,20200716,7.55,7.74,7.09,7.15,7.83,-0.68,-8.6845,766442.41,570145.379
55,000006.SZ,20200715,8.68,8.68,7.83,7.83,8.7,-0.87,-10.0,720553.09,589458.541
56,000006.SZ,20200714,8.95,9.16,8.51,8.7,9.13,-0.43,-4.7097,852146.76,747980.309
57,000006.SZ,20200713,8.56,9.17,8.25,9.13,8.56,0.57,6.6589,1343326.21,1160680.007
