,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
0,20210507,300356.SZ,3.94,4.15,3.87,4.04,3.95,0.08999999999999986,2.2785,136056.35,54511.27,3.5528,4.39,191905.226,4.545,186712.0815,4.7457,253640.2877,4.6143,262794.525,5.1424,240271.9309,5.6571,232394.675
1,20210506,300356.SZ,3.85,4.03,3.85,3.95,3.89,0.06000000000000005,1.5424,108743.55,42972.882,2.8396,4.485,210591.865,4.584,188282.2545,4.7883,261246.9587,4.6152,261972.4202,5.1668,241215.1015,5.6671,232824.1912
2,20210430,300356.SZ,4.1,4.12,3.88,3.89,4.1,-0.20999999999999952,-5.122,151690.63,60167.722,3.9611,4.567,217125.858,4.6245,191457.152,4.8283,267410.8847,4.6182,261582.4578,5.1938,243051.7148,5.677,233271.0452
3,20210429,300356.SZ,4.2,4.25,4.07,4.1,4.22,-0.1200000000000001,-2.8436,142379.98,59198.081,3.7179,4.652,220450.331,4.667,194339.4475,4.8757,276278.3233,4.624,260871.4163,5.2208,245218.0757,5.6872,234003.5359
4,20210428,300356.SZ,4.39,4.43,4.13,4.22,4.47,-0.25,-5.5928,240030.34,101851.905,6.2678,4.708,224169.615,4.7085,198407.148,4.9157,289175.2413,4.6253,259725.4852,5.2448,246453.6433,5.6952,233834.2483
5,20210427,300356.SZ,4.76,4.84,4.43,4.47,4.83,-0.3600000000000003,-7.4534,230777.99,106040.366,6.0687,4.743,209696.146,4.745,207799.1005,4.963,303075.0433,4.6263,257293.0765,5.2658,246608.8358,5.7022,233205.3027
6,20210426,300356.SZ,5.0,5.05,4.83,4.83,4.85,-0.019999999999999574,-0.4124,284903.17,140279.761,7.492,4.747,202445.097,4.79,214475.902,4.9823,311900.8503,4.6257,255565.1278,5.2828,247149.3758,5.7085,232675.3164
7,20210423,300356.SZ,4.76,4.91,4.65,4.85,4.73,0.11999999999999922,2.537,212059.76,101854.318,5.5765,4.737,192595.96,4.826,228061.924,4.9867,320801.5417,4.6212,251887.6695,5.3016,247567.9816,5.713,231817.9597
8,20210422,300356.SZ,4.75,4.89,4.68,4.73,4.82,-0.08999999999999986,-1.8672,166628.63,79392.212,4.3818,4.716,182462.384,4.8725,257164.987,4.985,330671.7427,4.617,249926.9765,5.3179,248049.4463,5.7177,231237.1206
9,20210421,300356.SZ,4.9,5.0,4.79,4.82,4.99,-0.16999999999999993,-3.4068,245781.86,119563.425,6.4633,4.704,186705.325,4.9105,280804.033,4.9743,335204.927,4.6133,248572.1335,5.3367,249463.9278,5.7225,230857.529
10,20210420,300356.SZ,4.77,5.03,4.76,4.99,4.77,0.22000000000000064,4.6122,322922.74,159436.75,8.4918,4.7,181518.937,4.9235,284507.8185,4.966,342111.3153,4.6098,246416.5235,5.3567,251397.7838,5.7276,230384.3839
11,20210419,300356.SZ,4.76,4.85,4.71,4.77,4.74,0.02999999999999936,0.6329,174083.48,83404.97,4.5778,4.683,165972.644,4.94,286574.5055,4.9693,349603.0033,4.6012,242462.5052,5.373,253492.8652,,
12,20210416,300356.SZ,4.54,4.81,4.54,4.74,4.66,0.08000000000000007,1.7167,184935.36,87358.151,4.8632,4.682,165788.446,4.959,292553.398,4.9863,374061.1657,4.5945,241147.5852,5.3928,256563.4659,,
13,20210415,300356.SZ,4.55,4.86,4.49,4.66,4.57,0.08999999999999986,1.9694,179572.82,84548.826,4.7222,4.682,168228.564,4.9875,304192.3195,5.0027,384608.4547,4.5867,239759.4648,5.41,257831.2483,,
14,20210414,300356.SZ,4.51,4.58,4.42,4.57,4.51,0.0600000000000005,1.3304,95295.65,43027.61,2.506,4.709,172644.681,5.0195,321678.0545,4.9927,380902.0827,4.5798,238656.8592,5.4266,257876.7615,,
15,20210413,300356.SZ,4.66,4.75,4.47,4.51,4.73,-0.22000000000000064,-4.6512,158267.5,72512.56,4.1619,4.747,205902.055,5.073,349764.492,4.986,380029.2263,4.578,238382.2088,5.442,258262.3348,,
16,20210412,300356.SZ,4.63,4.82,4.53,4.73,4.64,0.09000000000000075,1.9397,186411.8,87491.691,4.902,4.833,226506.707,5.1,366628.727,4.983,378562.1893,4.5773,237851.938,5.4577,257897.6556,,
17,20210409,300356.SZ,4.59,4.68,4.5,4.64,4.61,0.02999999999999936,0.6508,110724.0,51103.408,2.9117,4.915,263527.888,5.1115,384904.3325,4.967,375789.33,4.5768,237070.108,5.4707,257291.1797,,
18,20210408,300356.SZ,4.75,4.83,4.58,4.61,4.78,-0.16999999999999993,-3.5565,209058.04,97050.012,5.4975,5.029,331867.59,5.1195,404776.422,4.9537,375350.8037,4.5765,237718.0023,5.4851,257543.8503,,
19,20210407,300356.SZ,4.7,4.91,4.62,4.78,4.82,-0.040000000000000036,-0.8299,193917.98,92592.187,5.0994,5.117,374902.741,5.1095,409454.728,4.9437,373209.8023,4.5812,236466.2672,5.5002,257182.6072,,
20,20210406,300356.SZ,4.75,4.88,4.71,4.82,4.76,0.0600000000000005,1.2605,167459.81,80638.111,4.4036,5.147,387496.7,5.099,422407.5045,4.9223,369583.303,4.5867,235812.0315,5.5137,257075.0438,,
21,20210402,300356.SZ,4.77,4.78,4.66,4.76,4.74,0.019999999999999574,0.4219,172241.5,81303.068,4.5294,5.197,407176.367,5.1125,441418.183,4.9033,368518.0537,4.5947,234669.5367,5.5243,256671.8538,,
22,20210401,300356.SZ,4.88,4.91,4.71,4.74,4.93,-0.1899999999999995,-3.854,209336.54,99779.38,5.5049,5.236,419318.35,5.1385,478197.5255,4.8827,366967.037,4.604,233689.7457,5.5342,256138.9925,,
23,20210331,300356.SZ,4.89,5.03,4.82,4.93,4.95,-0.020000000000000462,-0.404,223733.99,109987.277,5.8835,5.293,440156.075,5.163,492798.4,4.8533,363375.1653,4.6127,231942.4215,5.5441,255363.6315,,
