,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
19,20201009,000007.SZ,9.39,9.57,9.35,9.51,9.4,0.10999999999999943,1.1702,59688.5,56507.861,1.932,9.198,50707.799,9.1945,58685.1925,9.1513,55751.7423,9.0045,58198.4655,8.6502,57431.3438,,
20,20200930,000007.SZ,9.0,9.44,8.97,9.4,8.99,0.41000000000000014,4.5606,99211.0,92079.603,3.2113,9.164,51140.951,9.1715,57136.0225,9.141,56134.252,9.0028,59471.5052,8.6386,57283.7036,,
21,20200929,000007.SZ,9.01,9.08,8.8,8.99,9.0,-0.009999999999999787,-0.1111,43283.4,38642.597,1.401,9.154,46486.766,9.1615,55942.523,9.13,54606.0853,8.9937,58598.9172,8.6286,56740.5807,,
22,20200928,000007.SZ,9.08,9.2,8.97,9.0,9.12,-0.11999999999999922,-1.3158,28911.5,26174.551,0.9358,9.185,51975.964,9.163,55256.0785,9.1313,54544.4253,8.99,59174.263,8.6219,56812.9261,,
23,20200925,000007.SZ,9.22,9.34,9.11,9.12,9.23,-0.11000000000000121,-1.1918,26828.5,24652.637,0.8684,9.197,52700.214,9.167,55765.004,9.137,55461.051,8.9872,59649.717,8.6151,56917.7898,,
24,20200924,000007.SZ,9.0,9.32,9.0,9.23,9.06,0.16999999999999993,1.8764,64353.01,59238.666,2.083,9.197,54683.114,9.166,56984.9845,9.139,57372.9843,8.9807,60013.3357,8.6072,56943.4773,,
25,20200923,000007.SZ,9.12,9.15,9.02,9.06,9.15,-0.08999999999999986,-0.9836,38857.03,35217.145,1.2577,9.186,54459.462,9.1595,58348.9525,9.1313,57687.8657,8.9718,59540.9522,8.598,56633.6607,,
26,20200922,000007.SZ,9.22,9.29,8.98,9.15,9.29,-0.1399999999999988,-1.507,45907.91,41848.72,1.4859,9.192,59473.142,9.1645,60991.0155,9.1197,58788.9163,8.9672,59773.9038,8.5899,57051.2684,,
27,20200921,000007.SZ,9.2,9.4,9.15,9.29,9.23,0.05999999999999872,0.6501,39461.0,36630.593,1.2773,9.204,62816.029,9.1535,60234.8985,9.1133,59327.26,8.9602,59795.3638,8.5792,57737.9817,,
28,20200918,000007.SZ,9.18,9.26,9.03,9.23,9.17,0.0600000000000005,0.6543,60576.14,55572.88,1.9351,9.189,65551.528,9.137,59390.346,9.098,59734.5433,8.9522,60117.6222,8.5697,57655.781,,
29,20200917,000007.SZ,9.2,9.38,9.13,9.17,9.3,-0.13000000000000078,-1.3978,64020.02,59228.791,2.0722,9.191,66662.586,9.128,58273.714,9.078,59182.627,8.9498,60007.1282,8.5606,57462.559,,
30,20200916,000007.SZ,9.3,9.41,9.2,9.3,9.3,0.0,0.0,52669.15,49074.33,1.7048,9.179,63131.094,9.1295,58630.9025,9.0597,58874.5263,8.952,60380.8112,8.5534,57401.2612,,
31,20200915,000007.SZ,9.11,9.54,9.08,9.3,9.12,0.1800000000000015,1.9737,98175.38,91597.537,3.1777,9.169,65398.28,9.118,58665.745,9.0387,58452.7897,8.952,60906.1107,8.5437,57312.6807,,
32,20200914,000007.SZ,9.11,9.17,9.04,9.12,9.12,0.0,0.0,36154.0,32882.223,1.1702,9.141,58536.193,9.1045,55828.656,9.0217,58584.677,8.9512,60771.9357,8.5348,56812.0276,,
33,20200911,000007.SZ,9.12,9.19,9.0,9.12,9.12,0.0,0.0,46657.5,42452.868,1.5102,9.137,58829.794,9.107,56841.4695,9.0117,61072.4167,8.9485,61404.2087,8.5281,56732.5234,,
34,20200910,000007.SZ,9.13,9.25,8.9,9.12,9.12,0.0,0.0,62116.49,56448.831,2.0106,9.135,59286.855,9.11,58717.9195,8.9943,61450.856,8.9452,62871.6857,8.5211,56712.22,,
35,20200909,000007.SZ,9.23,9.32,9.05,9.12,9.27,-0.15000000000000036,-1.6181,88993.83,81691.169,2.8805,9.133,62238.443,9.104,59302.0675,8.9757,62140.2557,8.9337,63224.5692,8.5125,56671.6554,,
