,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
0,20210727,002911.SZ,8.56,8.65,8.54,8.59,8.57,0.019999999999999574,0.2334,10901.82,9351.09,0.1154,8.764,14753.396,8.868,15263.512,8.999,17468.6565,9.0223,18140.3377,9.1312,21475.1183,9.4082,26907.7068,9.397,24838.5901
1,20210726,002911.SZ,8.8,8.8,8.55,8.57,8.8,-0.23000000000000043,-2.6136,21818.11,18856.825,0.231,8.824,15205.592,8.931,16462.684,9.0485,20966.544,9.0293,18298.036,9.153,21815.7917,9.4131,26947.9083,9.399,24883.3896
2,20210723,002911.SZ,8.89,8.9,8.8,8.8,8.92,-0.11999999999999922,-1.3453,15812.7,13950.207,0.1674,8.894,13025.49,8.98,15601.853,9.0755,20428.023,9.0423,17924.1523,9.1738,22093.1238,9.4205,26930.1991,9.401,24940.5511
3,20210722,002911.SZ,8.86,8.93,8.82,8.92,8.94,-0.019999999999999574,-0.2237,13396.35,11877.475,0.1418,8.918,13582.75,9.007,15226.059,9.0905,20279.1185,9.0483,17834.2607,9.1908,22704.6497,9.4235,26917.8189,9.4042,25044.5123
4,20210721,002911.SZ,8.89,8.96,8.86,8.94,8.89,0.049999999999998934,0.5624,11838.0,10554.405,0.1253,8.936,14963.146,9.013,15880.008,9.097,20371.0015,9.0527,17889.2237,9.2113,24075.2675,9.4263,26951.2493,9.407,25161.9878
5,20210720,002911.SZ,8.86,8.92,8.82,8.89,8.92,-0.02999999999999936,-0.3363,13162.8,11640.909,0.1393,8.972,15773.628,9.026,15745.385,9.1065,20464.142,9.0513,18074.2223,9.2402,24962.4403,9.4298,26981.1077,9.4101,25296.0562
6,20210719,002911.SZ,8.92,8.96,8.83,8.92,8.92,0.0,0.0,10917.6,9720.872,0.1156,9.038,17719.776,9.045,15752.58,9.1195,20682.1325,9.055,18473.4673,9.2767,25395.9617,9.4349,27021.558,9.4124,25430.4127
7,20210716,002911.SZ,9.01,9.02,8.9,8.92,9.01,-0.08999999999999986,-0.9989,18599.0,16616.58,0.1969,9.066,18178.216,9.06,16678.917,9.1255,20859.688,9.0617,18857.778,9.3112,25843.1858,9.4402,27095.2947,9.4154,25679.0454
8,20210715,002911.SZ,9.2,9.22,8.92,9.01,9.12,-0.10999999999999943,-1.2061,20298.33,18298.67,0.2149,9.096,16869.368,9.086,16277.719,9.1235,20540.398,9.073,19037.0887,9.3479,26242.3537,9.4441,27073.753,9.4168,25741.8622
9,20210714,002911.SZ,9.2,9.28,9.08,9.12,9.22,-0.10000000000000142,-1.0846,15890.41,14521.802,0.1682,9.09,16796.87,9.103,16999.926,9.1155,19939.6085,9.0793,19018.241,9.3822,26877.2023,9.4463,27029.1169,9.4178,25888.2683
