,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
0,20210727,300285.SZ,46.39,47.18,44.27,44.63,46.42,-1.7899999999999991,-3.8561,140135.08,634790.694,1.7777,47.254,93545.354,47.34,83705.759,46.84,75840.8355,47.4837,72188.5987,48.5693,70583.4338,47.0309,84016.4789,43.7612,103098.4411
1,20210726,300285.SZ,46.87,47.44,45.1,46.42,47.1,-0.6799999999999997,-1.4437,72108.17,333671.323,0.9147,47.906,77594.44,47.535,74061.302,47.048,72138.201,47.6797,69151.679,48.6558,68915.4322,47.0869,83907.7881,43.723,103208.3171
2,20210723,300285.SZ,48.8,48.8,46.3,47.1,48.76,-1.6599999999999966,-3.4044,91593.34,431995.226,1.1619,48.204,79058.974,47.594,75399.343,47.2465,71806.4255,47.849,68759.4723,48.7072,68432.2557,47.1234,84947.4881,43.6729,103705.091
3,20210722,300285.SZ,49.36,49.75,48.35,48.76,49.36,-0.6000000000000014,-1.2156,65429.85,318993.678,0.83,48.096,73735.036,47.388,76701.986,47.359,70046.9145,48.0253,68101.4567,48.7483,68259.817,47.1528,85712.359,43.6302,104018.8545
4,20210721,300285.SZ,48.24,49.49,48.0,49.36,47.89,1.4699999999999989,3.0695,98460.33,481840.495,1.249,47.866,75089.736,47.162,76474.967,47.3585,69658.9555,48.0993,67512.0313,48.7687,68296.8143,47.1475,86767.2403,43.5798,104504.5984
5,20210720,300285.SZ,47.8,48.3,47.22,47.89,47.91,-0.01999999999999602,-0.0417,60380.51,288238.9,0.766,47.426,73866.164,46.94,73931.358,47.328,67504.4675,48.1277,66405.366,48.7662,67570.3823,47.105,86833.7507,43.5312,104829.0869
6,20210719,300285.SZ,46.4,48.33,46.3,47.91,46.56,1.3499999999999943,2.8995,79430.84,377826.009,1.0076,47.164,70528.164,46.651,74039.152,47.3935,67803.466,48.2423,66657.2457,48.783,67904.2507,47.0743,86936.794,43.4879,105218.6736
7,20210716,300285.SZ,47.71,47.99,46.51,46.56,47.61,-1.0499999999999972,-2.2054,64973.65,305281.864,0.8242,46.984,71739.712,46.39,71724.592,47.396,68069.513,48.3443,66212.969,48.8055,68264.0235,47.0481,87047.2445,43.4399,105659.5194
8,20210715,300285.SZ,47.16,47.88,46.72,47.61,47.16,0.45000000000000284,0.9542,72203.35,342164.425,0.9159,46.68,79668.936,46.254,71320.771,47.492,68052.837,48.449,66000.9213,48.8212,68957.8873,47.0193,87214.06,43.394,105985.4283
9,20210714,300285.SZ,46.88,48.3,46.41,47.16,46.58,0.5799999999999983,1.2452,92342.47,437721.874,1.1714,46.458,77860.198,46.181,71594.056,47.52,66757.4025,48.5383,65853.9183,48.7592,68933.5773,46.9879,87370.9124,43.3433,106447.5334
10,20210713,300285.SZ,47.01,47.2,46.2,46.58,47.01,-0.4299999999999997,-0.9147,43690.51,203758.375,0.5542,46.454,73996.552,46.34,67975.912,47.5555,66430.0185,48.6883,65755.2433,48.7085,68632.9448,46.9583,88134.6252,43.2891,107016.4878
11,20210712,300285.SZ,45.49,47.43,45.2,47.01,45.04,1.9699999999999989,4.3739,85488.58,399281.95,1.0845,46.138,77550.14,46.561,70215.1,47.752,66696.8675,48.8723,67193.403,48.645,68563.6437,46.9543,88717.0463,,
12,20210709,300285.SZ,46.01,46.61,44.7,45.04,46.5,-1.4600000000000009,-3.1398,104619.77,474306.73,1.3272,45.796,71709.472,46.899,68213.508,47.9765,65439.537,49.008,67017.6677,48.5859,67777.5133,46.9439,89254.3545,,
13,20210708,300285.SZ,47.5,47.53,46.31,46.5,47.14,-0.6400000000000006,-1.3577,63159.66,294983.43,0.8012,45.828,62972.606,47.33,63391.843,48.344,63801.192,49.232,67282.8223,48.5609,66971.4798,46.9579,89779.3954,,
14,20210707,300285.SZ,44.8,47.42,44.43,47.14,45.0,2.1400000000000006,4.7556,73024.24,339036.006,0.9264,45.904,65327.914,47.555,62842.944,48.568,63030.5635,49.3667,71450.0053,48.5234,66955.7727,46.9795,90610.6208,,
15,20210706,300285.SZ,45.0,45.22,44.12,45.0,45.3,-0.29999999999999716,-0.6623,61458.45,274758.479,0.7796,46.226,61955.272,47.716,61077.577,48.7215,62642.37,49.444,71193.7803,48.4644,66547.6913,46.9782,90825.9846,,
16,20210705,300285.SZ,45.16,45.88,44.25,45.3,45.2,0.09999999999999432,0.2212,56285.24,253166.119,0.714,46.984,62880.06,48.136,61567.78,49.038,62966.2925,49.5773,70536.2263,48.4252,66259.6678,46.9969,91428.1428,,
17,20210702,300285.SZ,46.7,47.35,45.12,45.2,46.88,-1.6799999999999997,-3.5836,60935.44,280684.556,0.773,48.002,64717.544,48.402,64414.434,49.3215,63457.1575,49.7073,70440.5933,48.3814,66518.8318,47.0167,92231.0803,,
18,20210701,300285.SZ,48.51,48.99,46.6,46.88,48.75,-1.8699999999999974,-3.8359,74936.2,354884.984,0.9506,48.832,63811.08,48.73,64784.903,49.5465,63340.9965,49.868,71142.5977,48.3627,66208.3315,47.0151,92696.4176,,
19,20210630,300285.SZ,48.99,49.15,47.0,48.75,48.79,-0.03999999999999915,-0.082,56161.03,270680.972,0.7124,49.206,60357.974,48.859,61920.749,49.717,62983.8495,49.9307,69978.6117,48.3057,65744.0407,46.9948,92811.5199,,
20,20210629,300285.SZ,50.49,50.5,48.3,48.79,50.39,-1.6000000000000014,-3.1752,66082.39,323497.102,0.8383,49.206,60199.882,48.771,64884.125,49.8625,64644.909,49.9173,69871.0517,48.1993,65536.8992,46.9558,93311.9663,,
21,20210628,300285.SZ,49.2,50.4,48.9,50.39,49.35,1.0399999999999991,2.1074,65472.66,326919.975,0.8306,49.288,60255.5,48.943,63178.635,50.028,65682.5545,49.9273,71417.2487,48.0962,65129.8428,46.9358,94046.5755,,
22,20210625,300285.SZ,48.8,49.86,48.56,49.35,48.75,0.6000000000000014,1.2308,56403.12,278009.836,0.7155,48.802,64111.324,49.054,62665.566,50.0625,66419.7475,49.847,71189.4767,47.9661,65147.8662,46.8949,94049.0246,,
23,20210624,300285.SZ,48.45,48.84,47.72,48.75,48.75,0.0,0.0,57670.67,277911.376,0.7316,48.628,65758.726,49.358,64210.541,50.183,69228.312,49.774,70639.922,47.8418,65217.8195,46.8515,94259.9796,,
24,20210623,300285.SZ,49.0,49.3,48.01,48.75,49.2,-0.45000000000000284,-0.9146,55370.57,268864.328,0.7024,48.512,63483.524,49.581,63218.183,50.2725,75753.536,49.7113,70701.2433,47.7155,65255.6368,46.8203,94468.6963,,
25,20210622,300285.SZ,48.1,49.44,47.6,49.2,47.96,1.240000000000002,2.5855,66360.48,323631.255,0.8418,48.336,69568.368,49.727,64207.163,50.308,76251.882,49.6453,70462.791,47.5741,65259.9917,46.7887,94770.4217,,
26,20210621,300285.SZ,48.0,48.77,46.99,47.96,48.48,-0.519999999999996,-1.0726,84751.78,407016.137,1.0751,48.598,66101.77,49.94,64364.805,50.298,75020.4495,49.5813,70112.0887,47.4309,65771.8893,46.7583,95396.2106,,
27,20210618,300285.SZ,48.47,49.12,47.83,48.48,48.17,0.30999999999999517,0.6436,64640.13,312780.628,0.82,49.306,61219.808,50.241,62499.881,50.36,73453.673,49.5647,69237.7183,47.3134,65400.7478,46.7145,95214.2578,,
28,20210617,300285.SZ,47.87,48.64,47.76,48.17,47.87,0.30000000000000426,0.6267,46294.66,223223.869,0.5873,50.088,62662.356,50.363,61897.09,50.437,74321.445,49.5797,69024.5347,47.1752,65783.1398,46.6686,95515.9453,,
29,20210616,300285.SZ,50.6,50.8,47.8,47.87,50.51,-2.6400000000000006,-5.2267,85794.79,415988.394,1.0884,50.65,62952.842,50.575,64046.95,50.4665,74007.543,49.624,69763.9173,47.0407,66066.0912,46.6199,95636.5684,,
30,20210615,300285.SZ,51.45,51.69,49.78,50.51,51.5,-0.990000000000002,-1.9223,49027.49,247056.076,0.6219,51.118,58845.958,50.954,64405.693,50.4905,72364.515,49.655,68978.269,46.904,65827.568,46.5705,95387.3892,,
31,20210611,300285.SZ,52.5,52.5,51.15,51.5,52.39,-0.8900000000000006,-1.6988,60341.97,310862.853,0.7655,51.282,62627.84,51.113,68186.474,50.4195,75536.5555,49.632,68679.1853,46.7092,65851.898,46.4942,95549.9694,,
32,20210610,300285.SZ,50.73,52.5,50.73,52.39,50.98,1.4100000000000037,2.7658,71852.87,373363.531,0.9115,51.176,63779.954,51.071,70173.929,50.2435,75451.432,49.5653,68105.039,46.4971,66350.3573,46.413,95825.9652,,
33,20210609,300285.SZ,50.21,51.44,50.21,50.98,50.21,0.769999999999996,1.5336,47747.09,243255.454,0.6057,50.638,61131.824,51.008,74246.083,49.982,73854.6125,49.4713,68418.1773,46.2924,68560.3613,46.3312,96372.015,,
34,20210608,300285.SZ,51.32,52.77,50.02,50.21,51.33,-1.1199999999999974,-2.182,65260.37,333759.129,0.8279,50.5,65141.058,50.964,88288.889,49.7765,74442.7735,49.438,69081.5973,46.1047,70261.3237,46.2511,96857.9936,,
35,20210607,300285.SZ,50.95,51.68,49.9,51.33,50.97,0.35999999999999943,0.7063,67936.9,346309.139,0.8857,50.79,69965.428,50.889,88296.601,49.6045,73590.605,49.4047,68735.3987,45.9106,70916.2238,46.1775,97237.4441,,
36,20210604,300285.SZ,49.9,51.32,49.55,50.97,49.7,1.269999999999996,2.5553,66102.54,336030.316,0.8618,50.944,73745.108,50.656,85676.094,49.402,72985.7305,49.3237,69151.2557,45.6935,72211.6848,46.0865,97692.6608,,
