,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
0,20210727,600219.SH,5.28,5.38,5.02,5.04,5.18,-0.13999999999999968,-2.7027,2850588.88,1485071.03,2.3853,5.026,3295279.714,4.784,3282801.177,4.259,2360606.738,4.0164,1879492.985,3.9693,1734327.7305,3.8635,2053300.3403,3.2456,1908643.2434
1,20210726,600219.SH,5.19,5.33,5.05,5.18,5.19,-0.010000000000000675,-0.1927,4004847.87,2073307.929,3.3512,4.928,3114276.728,4.712,3509682.723,4.1845,2264339.518,3.971,1819651.03,3.9479,1711794.9063,3.8492,2054310.6835,3.235,1906173.4052
2,20210723,600219.SH,5.24,5.47,5.09,5.19,5.09,0.10000000000000053,1.9646,5255142.53,2781318.539,4.3974,4.802,2908696.758,4.5865,3307619.694,4.1064,2096378.1215,3.9256,1721548.427,3.9245,1677933.7637,3.8353,2044432.5018,3.2236,1905274.9841
3,20210722,600219.SH,4.95,5.09,4.95,5.09,4.63,0.45999999999999996,9.9352,2936826.28,1487886.459,2.4575,4.688,2381682.048,4.455,2979761.853,4.0273,1875493.974,3.8778,1568424.5183,3.9028,1630872.55,3.821,2018910.3048,3.212,1889439.8336
4,20210721,600219.SH,4.63,4.69,4.58,4.63,4.55,0.08000000000000007,1.7582,1428993.01,660975.819,1.1958,4.574,2373016.31,4.3138,2776346.724,3.9502,1764246.2845,3.8343,1497185.2217,3.8812,1600742.4148,3.8088,2024518.3803,3.201,1884021.4676
5,20210720,600219.SH,4.46,4.59,4.4,4.55,4.55,0.0,0.0,1945573.95,879307.653,1.628,4.542,3270322.64,4.2215,2720564.307,3.8982,1740826.0285,3.8039,1481964.6117,3.8673,1598890.0012,3.7993,2040465.5448,3.1919,1885659.4808
6,20210719,600219.SH,4.6,4.75,4.52,4.55,4.62,-0.07000000000000028,-1.5152,2976948.02,1379128.908,2.4911,4.496,3905088.718,4.1313,2608714.342,3.8447,1692769.1075,3.7788,1442675.823,3.8544,1586049.2713,3.7902,2047555.0413,3.1829,1883699.6419
7,20210716,600219.SH,4.51,4.76,4.49,4.62,4.52,0.10000000000000053,2.2124,2620068.98,1217143.228,2.1924,4.371,3706542.63,4.0392,2396560.889,3.7882,1597163.1835,3.7533,1384861.3003,3.8415,1561291.4843,3.782,2039491.0588,3.1743,1880065.8602
8,20210715,600219.SH,4.42,4.56,4.37,4.52,4.47,0.04999999999999982,1.1186,2893497.59,1297737.203,2.4212,4.2221,3577841.658,3.9291,2215693.094,3.7327,1510298.7725,3.7282,1321279.8847,3.8283,1557978.9482,3.7731,2037023.7874,3.1652,1878148.4276
9,20210714,600219.SH,4.53,4.67,4.38,4.47,4.32,0.14999999999999947,3.4722,5915524.66,2666702.054,4.95,4.0536,3179677.138,3.8251,1976047.513,3.6812,1406309.63,3.707,1252555.4423,3.8139,1541360.3227,3.765,2042945.966,3.1562,1875985.5793
