,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
0,20210727,601689.SH,30.62,32.0,30.33,30.46,30.48,-0.019999999999999574,-0.0656,155060.45,484091.166,1.4698,31.762,159538.376,32.319,156676.655,33.3705,198804.428,35.3553,178493.8087,34.8601,155784.6798,35.7841,134475.5398,37.4786,121675.8424
1,20210726,601689.SH,31.88,32.29,29.38,30.48,31.7,-1.2199999999999989,-3.8486,199847.11,609518.419,1.8943,32.24,153712.12,32.613,177491.18,33.633,200673.346,35.6747,176303.4853,34.9314,154552.4315,35.9328,134119.6371,37.4923,121561.6277
2,20210723,601689.SH,32.5,32.86,31.4,31.7,32.56,-0.860000000000003,-2.6413,167561.3,535192.543,1.5883,32.798,142160.924,33.098,187891.772,34.017,198369.7895,35.9797,173509.775,35.0087,152932.9063,36.0936,133680.3385,37.5022,121362.842
3,20210722,601689.SH,33.39,33.85,32.35,32.56,33.61,-1.0499999999999972,-3.1241,136918.89,448854.942,1.2978,32.986,138924.688,33.548,203821.198,34.33,201965.638,36.2577,172036.977,35.0516,153529.5575,36.2606,133514.6463,37.5171,121276.7898
4,20210721,601689.SH,33.02,33.79,32.56,33.61,32.85,0.759999999999998,2.3135,138304.13,461762.672,1.311,33.034,148289.91,33.705,224484.759,34.7105,201459.549,36.4657,171567.9913,35.1133,152532.8097,36.4035,133697.9072,37.5284,121510.7124
5,20210720,601689.SH,32.98,33.59,32.2,32.85,33.27,-0.4200000000000017,-1.2624,125929.17,412825.881,1.1937,32.876,153814.934,33.557,229839.235,35.1555,201627.1825,36.6017,170757.935,35.1613,151199.616,36.5378,134017.8112,37.5425,121786.4782
6,20210719,601689.SH,32.2,33.96,32.01,33.27,32.64,0.6300000000000026,1.9301,142091.13,469307.988,1.3469,32.986,201270.24,33.464,247165.831,35.5865,202444.959,36.74,169988.7327,35.2246,150675.7842,36.6525,134199.5553,37.5576,122136.5171
7,20210716,601689.SH,32.7,33.09,31.53,32.64,32.8,-0.1599999999999966,-0.4878,151380.12,489991.365,1.4349,33.398,233622.62,33.447,257714.165,35.923,199816.9855,36.875,171579.9123,35.2695,150755.7328,36.7632,134328.8806,37.5629,122534.2315
8,20210715,601689.SH,32.7,33.51,32.38,32.8,32.82,-0.020000000000003126,-0.0609,183745.0,604472.537,1.7417,34.11,268717.708,33.652,254169.177,36.291,196863.391,37.0643,169045.0597,35.3292,150508.4173,36.8498,133882.0697,37.5709,122795.9097
9,20210714,601689.SH,32.81,33.58,32.3,32.82,33.4,-0.5799999999999983,-1.7365,165929.25,546883.624,1.5728,34.376,300679.608,33.961,245968.372,36.581,191239.9625,37.2677,166067.71,35.354,148864.9302,36.9356,133687.4358,37.5656,122571.3362
10,20210713,601689.SH,35.0,35.09,32.1,33.4,35.33,-1.9299999999999997,-5.4628,363205.7,1203185.126,3.4427,34.238,305863.536,34.422,240932.201,36.8735,189402.3855,37.4693,165269.0293,35.3807,148147.4188,37.0417,133743.5547,37.5489,122512.4346
11,20210712,601689.SH,36.0,36.58,34.98,35.33,36.2,-0.8700000000000045,-2.4033,303853.03,1086182.944,2.8802,33.942,293061.422,34.653,223855.512,37.2055,175709.638,37.6383,158976.8697,35.3793,144443.5455,37.1497,131718.1811,,
12,20210709,601689.SH,34.0,36.85,33.79,36.2,34.13,2.0700000000000003,6.065,326855.56,1164485.698,3.0982,33.496,281805.71,34.936,208847.807,37.4205,166318.7765,37.6877,155695.069,35.308,140668.0832,37.2354,130836.0733,,
