,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
0,20210727,600336.SH,5.43,5.52,5.33,5.34,5.46,-0.1200000000000001,-2.1978,64908.01,35107.758,0.8281,5.5359,68925.418,5.5858,78985.075,5.5388,70122.546,5.5756,71827.0883,5.8586,74986.9653,6.2852,109646.857,7.1054,310590.8699
1,20210726,600336.SH,5.62,5.63,5.44,5.46,5.61,-0.15000000000000036,-2.6738,69460.39,38269.439,0.8861,5.588,65467.324,5.603,77363.295,5.5508,69305.8455,5.5856,72298.5213,5.8774,75043.634,6.2969,110733.947,7.1071,310959.1911
2,20210723,600336.SH,5.6396,5.669,5.5417,5.6102,5.6494,-0.039200000000000124,-0.6939,90148.43,51460.729,1.1501,5.6083,64059.65,5.6083,76101.081,5.5598,68310.276,5.5972,72553.65,5.8937,75900.3565,6.3092,112977.3823,7.1084,311806.2256
3,20210722,600336.SH,5.6004,5.6787,5.5808,5.6494,5.62,0.02939999999999987,0.5231,65054.18,37514.226,0.8299,5.6161,58395.146,5.5926,72803.327,5.5637,66458.0745,5.6053,71814.5507,5.91,76346.8552,6.3246,113895.0211,7.1109,312681.0618
4,20210721,600336.SH,5.6004,5.6494,5.5808,5.62,5.6004,0.019600000000000506,0.35,55056.08,31612.325,0.7024,5.62,62974.368,5.5808,72634.909,5.5686,66292.182,5.6105,71523.1997,5.9248,77070.9592,6.3413,115522.7478,7.1135,313518.3031
5,20210720,600336.SH,5.5613,5.6298,5.5417,5.6004,5.5613,0.03909999999999947,0.7031,47617.54,27148.206,0.6075,5.6357,89044.732,5.5769,74635.549,5.5735,66277.3915,5.6171,73805.6113,5.9415,78294.4902,6.3571,116688.1292,7.1166,314986.3372
6,20210719,600336.SH,5.6592,5.669,5.5319,5.5613,5.6494,-0.08809999999999985,-1.5595,62422.02,35530.419,0.7964,5.6181,89259.266,5.5662,75530.837,5.5799,66875.3325,5.6291,74504.56,5.9602,81397.5037,6.3734,118113.429,7.1183,315961.0142
7,20210716,600336.SH,5.6396,5.6787,5.6102,5.6494,5.669,-0.019599999999999618,-0.3457,61825.91,35585.739,0.7887,5.6083,88142.512,5.5564,74194.835,5.5887,69351.11,5.6451,74565.5687,5.9782,82320.3593,6.3916,119534.4912,7.121,317235.213
8,20210715,600336.SH,5.6787,5.7571,5.5906,5.669,5.6983,-0.029300000000000104,-0.5142,87950.29,50823.986,1.122,5.5691,87211.508,5.5319,74611.244,5.5847,73742.6545,5.6579,74887.9717,5.9961,83291.0353,6.4074,120527.6859,7.1227,318202.4647
9,20210714,600336.SH,5.5417,5.7962,5.5123,5.6983,5.5123,0.18599999999999994,3.3743,185407.9,107524.679,2.3653,5.5417,82295.45,5.5064,74229.365,5.574,74777.24,5.6712,75012.6657,6.0124,83306.6138,6.4224,122210.6908,7.1242,319197.639
