,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
0,20210727,002839.SZ,5.55,5.57,5.45,5.46,5.54,-0.08000000000000007,-1.444,202065.62,111322.448,1.4035,5.556,214787.494,5.53,313712.44,5.416,224618.6555,5.3864,192240.0213,5.4177,175005.5497,5.4477,187796.6269,5.703,284448.7205
1,20210726,002839.SZ,5.6,5.65,5.51,5.54,5.62,-0.08000000000000007,-1.4235,231347.97,128984.601,1.6069,5.578,219590.516,5.513,305821.597,5.4081,219513.4385,5.3818,190758.3177,5.4138,172747.0333,5.4474,188215.2357,5.7062,291369.1346
2,20210723,002839.SZ,5.61,5.66,5.55,5.62,5.63,-0.009999999999999787,-0.1776,202129.99,113313.039,1.4039,5.596,244865.628,5.488,297395.658,5.3977,214454.4565,5.3768,188233.5827,5.4083,170357.2227,5.4474,188257.0687,5.7117,300593.1735
3,20210722,002839.SZ,5.58,5.65,5.53,5.63,5.53,0.09999999999999964,1.8083,241731.87,135612.918,1.679,5.584,324615.916,5.452,290607.608,5.3861,213790.8975,5.3714,184743.8563,5.4022,168306.3335,5.4464,189243.481,5.7148,302245.9044
4,20210721,002839.SZ,5.57,5.61,5.51,5.53,5.57,-0.040000000000000036,-0.7181,196662.02,108943.073,1.366,5.562,428373.356,5.418,284220.406,5.3707,207208.6175,5.3662,179538.2953,5.3963,166091.911,5.4466,190397.4955,5.7186,304272.7552
5,20210720,002839.SZ,5.58,5.61,5.54,5.57,5.63,-0.05999999999999961,-1.0657,226080.73,125964.241,1.5703,5.504,412637.386,5.4001,283062.742,5.3598,203347.0,5.3651,177252.5737,5.393,164712.509,5.4481,191294.0888,5.7231,307734.4358
6,20210719,002839.SZ,5.53,5.65,5.51,5.63,5.56,0.07000000000000028,1.259,357723.53,200350.411,2.4846,5.448,392052.678,5.3781,275480.656,5.3478,200229.9375,5.3636,174581.359,5.39,163349.8605,5.4498,192331.3108,5.7265,311591.951
7,20210716,002839.SZ,5.45,5.61,5.41,5.56,5.52,0.040000000000000036,0.7246,600881.43,333086.497,4.1735,5.38,349925.688,5.3473,253552.507,5.3334,187832.4215,5.3605,169135.3343,5.3848,159043.2572,5.4501,191439.2318,5.7314,315107.1839
8,20210715,002839.SZ,5.35,5.7,5.32,5.52,5.24,0.27999999999999936,5.3435,760519.07,417759.962,5.2823,5.32,256599.3,5.3205,204977.254,5.321,164609.293,5.359,155022.2687,5.3818,150849.2248,5.4507,189992.549,5.7369,319138.7434
9,20210714,002839.SZ,5.3,5.3,5.23,5.24,5.29,-0.04999999999999982,-0.9452,117982.17,62009.238,0.8195,5.274,140067.456,5.2977,139865.569,5.3096,132506.7205,5.3579,133750.1747,5.3796,139713.7155,5.451,185348.0667,5.7419,324781.7112
10,20210713,002839.SZ,5.29,5.3,5.25,5.29,5.29,0.0,0.0,123157.19,65001.379,0.8554,5.2961,153488.098,5.302,135524.871,5.3146,131503.812,5.3664,134231.18,5.381,138835.0357,5.4537,186197.0299,5.7481,332197.8566
11,20210712,002839.SZ,5.31,5.32,5.28,5.29,5.26,0.03000000000000025,0.5703,147088.58,77891.072,1.0216,5.3082,158908.634,5.3032,133205.28,5.3162,133226.678,5.3743,134546.0063,5.381,137692.7725,5.4568,188656.6092,,
12,20210709,002839.SZ,5.28,5.31,5.25,5.26,5.29,-0.03000000000000025,-0.5671,134249.49,70837.544,0.9325,5.3145,157179.326,5.3073,131513.255,5.3212,133652.545,5.3821,134428.858,5.3809,137194.7223,5.4597,189726.951,,
13,20210708,002839.SZ,5.37,5.37,5.29,5.29,5.35,-0.05999999999999961,-1.1215,177859.85,94731.946,1.2354,5.321,153355.208,5.3202,136974.187,5.331,131811.9805,5.3906,134938.5603,5.3827,136640.986,5.4634,190289.857,,
