,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
0,20210727,002298.SZ,7.54,7.69,7.43,7.43,7.63,-0.20000000000000018,-2.6212,197315.54,149168.718,3.5017,7.48,156237.696,7.3866,135250.111,7.2547,114393.737,7.2756,110792.1173,7.1811,103632.7683,7.6869,93510.8647,9.0139,146211.4281
1,20210726,002298.SZ,7.45,7.64,7.33,7.63,7.47,0.16000000000000014,2.1419,220204.48,165454.949,3.908,7.468,134349.204,7.3817,130545.825,7.2408,109856.3605,7.2736,107996.629,7.1826,102903.839,7.6961,93311.7637,9.0185,145935.7042
2,20210723,002298.SZ,7.44,7.48,7.32,7.47,7.44,0.02999999999999936,0.4032,115542.37,85293.733,2.0505,7.4222,117493.91,7.3578,131307.282,7.2229,103408.51,7.2647,107041.1493,7.1888,100115.8648,7.7016,92108.8097,9.0224,145736.0549
3,20210722,002298.SZ,7.4,7.52,7.37,7.44,7.43,0.010000000000000675,0.1346,106169.09,79047.557,1.8842,7.3685,113660.532,7.319,126501.127,7.2124,102178.408,7.267,112151.6463,7.1986,98880.3418,7.7091,91920.1273,9.028,146037.9943
4,20210721,002298.SZ,7.36,7.49,7.29,7.43,7.37,0.05999999999999961,0.8141,141957.0,105037.395,2.5193,7.3129,120046.916,7.2792,121128.129,7.2045,100776.969,7.2604,114653.3423,7.2092,98109.2483,7.7187,91635.0516,9.0347,146492.4341
5,20210720,002298.SZ,7.36,7.37,7.28,7.37,7.4,-0.03000000000000025,-0.4054,87873.08,64364.52,1.5595,7.2931,114262.526,7.2424,113930.706,7.1986,98667.19,7.2505,116605.238,7.2227,96644.59,7.7285,90937.4532,9.0421,146597.7955
6,20210719,002298.SZ,7.2116,7.4111,7.1917,7.4011,7.2016,0.19949999999999957,2.7702,135928.01,99682.052,2.4123,7.2954,126742.446,7.2186,113427.351,7.2011,98949.246,7.2369,116169.5067,7.236,95845.1618,7.7391,90931.8529,9.0486,146914.3387
7,20210716,002298.SZ,7.1617,7.3213,7.1617,7.2016,7.1617,0.03990000000000027,0.5571,96375.48,70015.095,1.7104,7.2934,145120.654,7.1867,104280.593,7.2061,98935.3655,7.2239,113357.3007,7.25,94384.6813,7.7484,90411.5697,9.0555,147250.719
8,20210715,002298.SZ,7.3911,7.3911,7.072,7.1617,7.3313,-0.16959999999999997,-2.3134,138101.01,99380.474,2.4509,7.2694,139341.722,7.1637,99472.635,7.2186,101121.3155,7.2176,112277.5117,7.2688,93745.229,7.759,90228.3866,9.0626,147523.9451
9,20210714,002298.SZ,7.3911,7.441,7.3014,7.3313,7.3812,-0.049900000000000055,-0.676,113035.05,83521.937,2.006,7.2455,122209.342,7.1438,92640.234,7.2236,99522.8315,7.2143,109577.5693,7.2872,92371.803,7.769,89867.4236,9.0693,147823.6132
10,20210713,002298.SZ,7.3911,7.461,7.3512,7.3812,7.3911,-0.00990000000000002,-0.1339,150272.68,111445.656,2.6669,7.1916,113598.886,7.1228,93537.363,7.2201,98563.1205,7.2076,109377.6383,7.3014,91314.3253,7.7765,89890.5553,9.0752,148227.6604
