,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
0,20210727,600111.SH,40.9,45.0,38.17,40.36,41.0,-0.6400000000000006,-1.561,2759240.1,11633166.136,7.5948,40.188,2384231.96,37.336,2561650.196,31.4155,2617467.243,27.5647,2068801.9523,24.2222,1633554.6853,22.0189,1749502.2065,17.1084,1438226.7692
1,20210726,600111.SH,39.07,41.2,37.2,41.0,39.4,1.6000000000000014,4.0609,2136219.85,8422216.26,5.8799,39.314,2219989.682,36.607,2590474.001,30.4045,2530785.176,26.8831,2008990.856,23.9041,1612169.5363,21.8395,1755725.6678,16.9937,1431693.7102
2,20210723,600111.SH,39.91,41.45,38.53,39.4,40.59,-1.1900000000000048,-2.9318,1998493.2,7994555.032,5.5008,38.054,2339669.194,35.774,2732054.997,29.352,2458695.3965,26.209,1969387.5883,23.5629,1591633.627,21.6474,1770622.6895,16.8773,1430130.642
3,20210722,600111.SH,40.37,41.69,38.7,40.59,39.59,1.0,2.5259,2485135.39,9973532.445,6.8403,36.954,2592031.972,34.804,2831419.929,28.399,2395684.6295,25.6076,1927076.5437,23.2439,1577165.9083,21.471,1792405.0558,16.7681,1429911.8338
4,20210721,600111.SH,36.04,39.59,35.33,39.59,35.99,3.6000000000000014,10.0028,2542071.26,9634507.992,6.997,35.942,2744302.426,33.445,2998815.777,27.3875,2324871.4795,24.9641,1864938.2253,22.9111,1555160.9982,21.2781,1785514.07,16.6577,1426953.4872
5,20210720,600111.SH,34.0,36.66,33.93,35.99,34.7,1.2899999999999991,3.7176,1938028.71,6893387.646,5.3344,34.484,2739068.432,31.999,3050016.333,26.414,2243738.5875,24.3613,1814060.773,22.5951,1530508.0197,21.0803,1785034.3561,16.5511,1426300.3197
6,20210719,600111.SH,33.5,36.6,33.3,34.7,33.9,0.8000000000000043,2.3599,2734617.41,9631130.116,7.527,33.9,2960958.32,30.734,3178567.785,25.635,2219109.0305,23.9064,1778853.1997,22.342,1522370.9028,20.9005,1786790.8728,16.4576,1429596.9834
7,20210716,600111.SH,34.5,36.2,33.65,33.9,35.53,-1.6300000000000026,-4.5877,3260307.09,11305416.998,8.974,33.494,3124440.8,29.532,3224014.234,24.8801,2122130.982,23.4971,1725121.3397,22.1058,1507856.3635,20.7377,1783664.9389,16.3678,1430990.3084
8,20210715,600111.SH,32.38,35.53,30.51,35.53,32.3,3.230000000000004,10.0,3246487.66,10683203.59,8.9359,32.654,3070807.886,28.204,3063085.956,24.1572,2013205.8355,23.1208,1685432.147,21.8722,1475422.5497,20.5701,1777359.1625,16.2781,1423886.7374
9,20210714,600111.SH,32.5,34.5,31.88,32.3,33.07,-0.7700000000000031,-2.3284,2515901.29,8283497.338,6.925,30.948,3253329.128,26.655,2818856.499,23.3389,1888938.139,22.6633,1627563.788,21.5964,1434039.4098,20.4011,1763523.1505,16.1776,1416470.3659
10,20210713,600111.SH,32.8,33.66,31.8,33.07,32.67,0.3999999999999986,1.2244,3047478.15,9993808.501,8.3882,29.514,3360964.234,25.495,2673284.29,22.6791,1822377.8305,22.3181,1592128.338,21.3785,1409075.3078,20.2593,1763522.8545,16.0905,1412486.3377
11,20210712,600111.SH,31.8,32.67,30.97,32.67,29.7,2.9700000000000024,10.0,3552029.81,11482762.11,9.7769,27.568,3396177.25,24.202,2471096.351,22.0211,1718249.2835,21.9456,1562779.6123,21.1419,1369393.0075,20.1045,1751620.1869,,
12,20210709,600111.SH,27.2,29.7,26.85,29.7,27.0,2.6999999999999993,10.0,2992142.52,8491630.912,8.2359,25.57,3323587.668,22.93,2185335.796,21.4265,1588053.884,21.5356,1481970.064,20.9081,1329837.0765,19.9509,1743297.9707,,
13,20210708,600111.SH,25.98,27.64,25.94,27.0,25.13,1.870000000000001,7.4413,4159093.87,11376414.665,11.4479,23.754,3055364.026,21.994,1959949.33,21.0093,1474904.851,21.2199,1413674.482,20.7374,1300511.294,19.8181,1728671.9609,,
