,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
0,20210727,600371.SH,11.53,11.8,11.34,11.6,11.56,0.03999999999999915,0.346,128487.74,148909.334,4.3916,11.38,94936.8,11.261,78574.123,11.226,78773.822,11.104,65573.895,11.0737,51422.9275,11.5477,53129.6102,13.3277,123413.5014
1,20210726,600371.SH,11.44,11.82,11.32,11.56,11.48,0.08000000000000007,0.6969,141186.41,163556.468,4.8256,11.282,82315.212,11.236,73707.16,11.1945,73942.2705,11.0767,61944.902,11.0592,50171.7822,11.561,52810.9162,13.3331,123509.2485
2,20210723,600371.SH,11.17,11.48,11.08,11.48,11.17,0.3100000000000005,2.7753,119309.49,135336.058,4.0779,11.248,76468.446,11.221,70781.78,11.1715,69168.5555,11.0547,57973.415,11.0529,48467.4063,11.5779,52709.9017,13.3383,123957.5027
3,20210722,600371.SH,11.11,11.19,11.08,11.17,11.09,0.08000000000000007,0.7214,34674.87,38610.73,1.1851,11.16,60040.32,11.213,67589.099,11.142,64798.026,11.0347,55060.7533,11.0528,47106.3413,11.5915,52231.3525,13.3477,124720.6726
4,20210721,600371.SH,11.13,11.22,11.08,11.09,11.11,-0.019999999999999574,-0.18,51025.49,56778.255,1.744,11.134,61864.484,11.243,74583.845,11.1325,65346.432,11.029,54574.7903,11.0591,47092.1828,11.6084,52443.6657,13.3633,126751.8011
5,20210720,600371.SH,11.21,11.29,11.06,11.11,11.39,-0.28000000000000114,-2.4583,65379.8,72746.756,2.2346,11.142,62211.446,11.264,77114.55,11.135,66467.346,11.0263,53992.9627,11.0648,46576.7672,11.6257,52380.3149,13.3785,128197.0192
6,20210719,600371.SH,11.03,11.55,10.83,11.39,11.04,0.3500000000000014,3.1703,111952.58,126301.125,3.8264,11.19,65099.108,11.293,83891.53,11.125,66218.9475,11.025,53364.0063,11.0702,45838.1907,11.642,52397.6453,13.3882,129936.0151
7,20210716,600371.SH,10.97,11.1,10.91,11.04,11.04,0.0,0.0,37168.86,40826.871,1.2704,11.194,65095.114,11.265,80584.264,11.089,61792.9685,11.0227,51644.537,11.0715,44535.1315,11.6584,52191.1576,13.3959,131421.0654
8,20210715,600371.SH,11.13,11.22,10.98,11.04,11.13,-0.09000000000000163,-0.8086,43795.69,48422.73,1.4969,11.266,75137.878,11.253,83169.373,11.068,61409.8825,11.0267,51743.5817,11.0798,44491.1247,11.6759,52713.0023,13.4002,131957.2306
9,20210714,600371.SH,11.26,11.34,11.13,11.13,11.35,-0.21999999999999886,-1.9383,52760.3,59087.805,1.8033,11.352,87303.206,11.22,81055.692,11.0465,60469.153,11.035,52967.1623,11.085,44075.2345,11.6902,53558.3194,13.4034,132949.8003
10,20210713,600371.SH,11.3,11.61,11.19,11.35,11.41,-0.0600000000000005,-0.5259,79818.11,90803.969,2.7281,11.386,92017.654,11.191,78973.521,11.0255,59073.781,11.0343,52345.8507,11.0883,43509.7682,11.7104,53922.5661,13.4043,133429.8278
11,20210712,600371.SH,11.8,11.88,11.27,11.41,11.4,0.009999999999999787,0.0877,111932.61,128489.081,3.8257,11.396,102683.952,11.153,74177.381,10.997,56063.773,11.0223,50618.0223,11.0901,42600.2988,11.733,54438.6153,,
12,20210709,600371.SH,11.52,11.64,11.31,11.4,11.47,-0.07000000000000028,-0.6103,87382.68,99977.883,2.9866,11.336,96073.414,11.122,67555.331,10.9715,51569.2325,11.006,48191.2883,11.0937,41543.9103,11.7533,54377.6644,,
13,20210708,600371.SH,11.32,11.55,11.19,11.47,11.3,0.16999999999999993,1.5044,104622.33,119338.441,3.5759,11.24,91200.868,11.071,62006.953,10.9455,48796.5805,10.9976,46715.434,11.0931,40599.5702,11.7768,54909.6965,,
14,20210707,600371.SH,11.24,11.37,11.13,11.3,11.4,-0.09999999999999964,-0.8772,76332.54,85845.124,2.609,11.088,74808.178,11.022,56109.019,10.922,44570.263,10.982,44133.352,11.0945,39443.1002,11.8065,55580.7548,,
15,20210706,600371.SH,11.0,11.5,10.98,11.4,11.11,0.2900000000000009,2.6103,133149.6,150101.224,4.5509,10.996,65929.388,11.006,55820.142,10.9075,42432.169,10.968,42623.3997,11.1021,38687.217,11.8435,56632.4922,,
16,20210705,600371.SH,10.84,11.2,10.71,11.11,10.92,0.1899999999999995,1.7399,78879.92,87143.104,2.696,10.91,45670.81,10.957,48546.365,10.891,38100.2445,10.952,39383.2293,11.1086,36917.5402,11.8778,57230.8772,,
17,20210702,600371.SH,10.82,11.25,10.68,10.92,10.71,0.20999999999999908,1.9608,63019.95,69448.797,2.154,10.908,39037.248,10.913,43001.673,10.9015,37174.6735,10.9467,37701.5287,11.1198,36024.5482,11.9187,58710.6298,,
18,20210701,600371.SH,10.86,10.97,10.7,10.71,10.84,-0.129999999999999,-1.1993,22658.88,24550.717,0.7745,10.902,32813.038,10.883,39650.392,10.9135,36030.686,10.9447,36343.349,11.1344,35655.028,11.9594,59990.8908,,
19,20210630,600371.SH,10.88,10.94,10.77,10.84,10.97,-0.13000000000000078,-1.1851,31938.59,34590.762,1.0916,10.956,37409.86,10.873,39882.614,10.9425,38922.8975,10.9491,36677.433,11.1516,35709.5415,11.9983,61438.6709,,
20,20210629,600371.SH,11.22,11.25,10.96,10.97,11.1,-0.129999999999999,-1.1712,31856.71,35212.004,1.0888,11.016,45710.896,10.86,39174.041,10.956,39032.0155,10.9564,36419.89,11.166,35537.064,12.0351,64159.6507,,
21,20210628,600371.SH,10.99,11.11,10.93,11.1,10.89,0.20999999999999908,1.9284,45712.11,50562.511,1.5624,11.004,51421.92,10.841,37950.165,10.957,38838.343,10.9611,36617.893,11.1795,35499.8808,12.0792,67054.9433,,
22,20210625,600371.SH,10.91,11.04,10.84,10.89,10.98,-0.08999999999999986,-0.8197,31898.9,34773.27,1.0903,10.918,46966.098,10.821,35583.134,10.948,38509.267,10.9673,36200.815,11.1927,35278.1195,12.1112,68244.7715,,
23,20210624,600371.SH,11.24,11.24,10.97,10.98,11.14,-0.16000000000000014,-1.4363,45642.99,50530.729,1.56,10.864,46487.746,10.82,35586.208,10.961,39069.6745,10.9809,36617.9987,11.2112,35681.2407,12.1462,70773.6357,,
24,20210623,600371.SH,10.88,11.3,10.72,11.14,10.91,0.23000000000000043,2.1082,73443.77,80569.023,2.5102,10.79,42355.368,10.822,33031.507,10.962,38145.5185,10.9977,37676.7293,11.2294,35987.0438,12.1823,72931.4203,,
25,20210622,600371.SH,10.75,11.19,10.73,10.91,10.67,0.2400000000000002,2.2493,60411.83,66345.187,2.0648,10.704,32637.186,10.809,29044.196,10.949,36025.0285,10.9984,36438.707,11.2446,35595.6225,12.2109,74808.8407,,
26,20210621,600371.SH,10.63,10.79,10.6,10.67,10.62,0.05000000000000071,0.4708,23433.0,25044.093,0.8009,10.678,24478.41,10.825,27654.124,10.9495,34801.6615,11.005,35473.8607,11.2651,35626.9495,12.2455,77167.4891,,
27,20210618,600371.SH,10.6,10.64,10.4,10.62,10.61,0.009999999999999787,0.0943,29507.14,31029.237,1.0085,10.724,24200.17,10.89,31347.674,10.9636,35051.4565,11.0186,36048.458,11.2886,35966.5182,12.2718,78080.7631,,
28,20210617,600371.SH,10.65,10.75,10.53,10.61,10.71,-0.10000000000000142,-0.9337,24981.1,26553.15,0.8538,10.776,24684.67,10.944,32410.98,10.9756,34689.8275,11.0382,37149.6793,11.3116,36199.388,12.2952,78705.2048,,
29,20210616,600371.SH,10.82,10.92,10.7,10.71,10.78,-0.06999999999999851,-0.6494,24852.86,26786.441,0.8494,10.854,23707.646,11.012,37963.181,10.9872,35074.8425,11.044,37266.6153,11.3343,36431.3937,12.3218,79238.4553,,
30,20210615,600371.SH,10.82,10.86,10.75,10.78,10.9,-0.120000000000001,-1.1009,19617.95,21173.357,0.6705,10.914,25451.206,11.052,38889.99,11.0047,35042.8145,11.0434,37271.96,11.3591,37219.2865,12.3477,79840.6338,,
31,20210611,600371.SH,11.05,11.05,10.86,10.9,10.88,0.019999999999999574,0.1838,22041.8,24102.208,0.7534,10.972,30829.838,11.073,39726.521,11.0211,35951.757,11.0418,38398.6623,11.3747,37327.5353,12.3752,81118.2085,,
32,20210610,600371.SH,11.0,11.0,10.88,10.88,11.0,-0.11999999999999922,-1.0909,31929.64,34838.373,1.0913,11.056,38495.178,11.0751,41435.4,11.0405,36509.6555,11.0511,38961.3977,11.3877,37555.5857,12.3984,81893.7661,,
33,20210609,600371.SH,11.01,11.09,10.95,11.0,11.01,-0.009999999999999787,-0.0908,20095.98,22106.37,0.6869,11.112,40137.29,11.1019,42553.141,11.0613,37133.894,11.0709,39151.9293,11.4056,37675.8998,12.4194,82207.5051,,
34,20210608,600371.SH,11.07,11.12,10.98,11.01,11.07,-0.0600000000000005,-0.542,33570.66,37048.501,1.1474,11.17,52218.716,11.1019,43259.53,11.0856,39999.3405,11.0891,39609.5753,11.4221,37947.495,12.4379,82696.6131,,
35,20210607,600371.SH,11.19,11.27,11.05,11.07,11.32,-0.25,-2.2085,46511.11,51586.07,1.5897,11.19,52328.774,11.089,43005.861,11.093,40135.9625,11.1033,39160.5717,11.4355,37993.5878,12.4596,82921.1043,,
36,20210604,600371.SH,11.2,11.48,11.2,11.32,11.16,0.16000000000000014,1.4337,60368.5,68597.774,2.0633,11.174,48623.204,11.0741,41949.199,11.095,39383.729,11.1155,38312.375,11.4502,38344.8897,12.4829,83224.0116,,
37,20210603,600371.SH,11.23,11.32,11.11,11.16,11.29,-0.129999999999999,-1.1515,40140.2,44984.411,1.3719,11.0941,44375.622,11.0371,38755.239,11.083,38398.85,11.1204,37425.726,11.4714,38622.4475,12.5032,83386.9482,,
38,20210602,600371.SH,11.05,11.68,10.96,11.29,11.11,0.17999999999999972,1.6202,80503.11,91330.773,2.7515,11.0919,44968.992,11.0072,36968.675,11.0854,39519.029,11.1329,37238.6677,11.5046,39240.961,12.5266,84478.0397,,
39,20210601,600371.SH,10.95,11.19,10.93,11.11,10.99,0.11999999999999922,1.0919,34120.95,37925.803,1.1662,11.0338,34300.344,10.9624,32186.504,11.06,36918.3325,11.1351,35183.3067,11.5331,39400.8537,12.5473,84436.5582,,
40,20210531,600371.SH,10.9306,11.0198,10.8315,10.99,10.9207,0.06930000000000014,0.6346,27983.26,30797.071,0.9564,10.988,33682.948,10.9573,31195.639,11.0391,36462.945,11.1423,34673.6857,11.5711,40993.4887,12.5688,84746.9022,,
