,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
0,20210727,300324.SZ,3.9,3.94,3.79,3.8,3.86,-0.06000000000000005,-1.5544,344475.59,132829.79,2.7477,4.002,521141.44,4.058,572808.336,4.1275,626561.071,4.2513,876344.703,3.819,623355.0712,3.6362,535326.2107,4.81,474747.6032
1,20210726,300324.SZ,4.0,4.0,3.8,3.86,3.98,-0.1200000000000001,-3.0151,455394.73,177232.82,3.6324,4.062,518752.492,4.135,644701.609,4.1465,645214.065,4.2603,906843.271,3.8095,620333.7268,3.6333,534878.1647,4.8241,476946.922
2,20210723,300324.SZ,4.2,4.21,3.95,3.98,4.23,-0.25000000000000044,-5.9102,715430.32,287927.926,5.7066,4.108,520448.332,4.194,708563.916,4.168,666867.434,4.264,935487.5243,3.7995,617731.1883,3.6304,534245.8611,4.8353,477341.3848
3,20210722,300324.SZ,4.14,4.3,4.08,4.23,4.14,0.09000000000000075,2.1739,597534.51,251897.933,4.7662,4.12,510724.896,4.202,682424.112,4.194,704466.8605,4.2577,944758.4567,3.79,610379.3528,3.6282,530877.2776,4.8481,476756.2501
4,20210721,300324.SZ,4.08,4.25,4.06,4.14,4.1,0.040000000000000036,0.9756,492872.05,205598.703,3.9314,4.07,566440.07,4.197,675924.313,4.228,779726.466,4.2367,939098.185,3.775,604741.7302,3.6252,528198.4536,4.8605,476703.1702
5,20210720,300324.SZ,4.05,4.12,4.01,4.1,4.09,0.009999999999999787,0.2445,332530.85,135314.258,2.6524,4.114,624475.232,4.195,668376.081,4.241,815558.319,4.219,942431.78,3.7632,603123.3387,3.623,526580.6574,4.8746,476902.1532
6,20210719,300324.SZ,4.08,4.16,3.93,4.09,4.04,0.04999999999999982,1.2376,463873.93,187872.428,3.7001,4.208,770650.726,4.204,689274.796,4.266,852390.429,4.1997,944516.961,3.7533,603235.7078,3.6218,527004.7229,4.8878,478121.3528
7,20210716,300324.SZ,3.95,4.23,3.95,4.04,3.98,0.06000000000000005,1.5075,666813.14,272515.352,5.3188,4.28,896679.5,4.222,724002.995,4.3005,905800.005,4.176,936761.2717,3.7453,600759.1787,3.6199,525630.4833,4.9016,479434.0892
8,20210715,300324.SZ,4.05,4.16,3.96,3.98,4.36,-0.38000000000000034,-8.7156,876110.38,353247.776,6.9883,4.284,854123.328,4.214,704203.213,4.3315,959249.2645,4.1547,923891.869,3.7392,595391.247,3.6182,522475.3873,4.9153,479736.3941
9,20210714,300324.SZ,4.57,4.58,4.33,4.36,4.57,-0.20999999999999996,-4.5952,783047.86,347135.702,6.2459,4.324,785408.556,4.207,695500.432,4.3495,981452.066,4.135,905198.861,3.7337,588715.2728,3.6165,517754.2489,4.9277,479258.0456
10,20210713,300324.SZ,4.45,4.67,4.39,4.57,4.45,0.1200000000000001,2.6966,1063408.32,484737.309,8.4822,4.276,712276.93,4.197,680313.806,4.348,1028112.8865,4.1043,893305.3887,3.719,578915.3453,3.6113,513778.7538,4.9376,478847.076
11,20210712,300324.SZ,4.08,4.56,4.07,4.45,4.06,0.39000000000000057,9.6059,1094017.8,476215.616,8.7264,4.2,607898.866,4.158,645726.521,4.323,1037914.102,4.0643,867667.7403,3.7015,564832.6983,3.6048,507842.3326,,
12,20210709,300324.SZ,4.18,4.19,4.03,4.06,4.18,-0.1200000000000001,-2.8708,454032.28,185279.611,3.6216,4.164,551326.49,4.142,625170.952,4.299,1048949.3285,4.0287,843509.4253,3.6858,551340.0467,3.5988,501624.5816,,
13,20210708,300324.SZ,4.12,4.22,4.05,4.18,4.12,0.05999999999999961,1.4563,532536.52,220922.17,4.2478,4.144,554283.098,4.186,726509.609,4.2855,1075925.629,4.005,834586.0837,3.6762,548095.982,3.5978,501581.1848,,
14,20210707,300324.SZ,4.17,4.18,4.06,4.12,4.19,-0.07000000000000028,-1.6706,417389.73,171645.67,3.3293,4.09,605592.308,4.259,883528.619,4.2565,1070685.121,3.977,826489.1097,3.6662,543340.9757,3.5953,500427.9445,,
15,20210706,300324.SZ,4.23,4.26,4.13,4.19,4.27,-0.07999999999999918,-1.8735,541518.0,226761.311,4.3194,4.118,648350.682,4.287,962740.557,4.231,1079459.6295,3.9503,821200.711,3.6573,543608.7328,3.5952,499292.3823,,
16,20210705,300324.SZ,4.01,4.32,4.01,4.27,3.96,0.3099999999999996,7.8283,811155.92,341007.074,6.4701,4.116,683554.176,4.328,1015506.062,4.1975,1072138.0435,3.9217,814573.988,3.6493,545037.0695,3.5956,496911.1895,,
17,20210702,300324.SZ,3.93,4.01,3.91,3.96,3.91,0.04999999999999982,1.2788,468815.32,185801.974,3.7395,4.12,699015.414,4.379,1087597.015,4.153,1043140.41,3.8857,793356.3413,3.6373,536228.1777,3.5958,492505.629,,
18,20210701,300324.SZ,4.26,4.29,3.91,3.91,4.26,-0.34999999999999964,-8.216,789082.57,320411.539,6.2941,4.228,898736.12,4.449,1214295.316,4.125,1033736.197,3.8597,784750.275,3.6293,532481.5315,3.598,490779.2644,,
19,20210630,300324.SZ,4.19,4.36,4.17,4.26,4.18,0.08000000000000007,1.9139,631181.6,269392.611,5.0346,4.428,1161464.93,4.492,1267403.7,4.099,1010048.0755,3.8373,763794.392,3.622,523835.7725,3.6001,486267.5357,,
20,20210629,300324.SZ,4.29,4.41,4.13,4.18,4.29,-0.11000000000000032,-2.5641,717535.47,303756.383,5.7234,4.456,1277130.432,4.499,1375911.967,4.058,999801.18,3.8047,748173.6273,3.608,518256.5863,3.5992,484193.4143,,
21,20210628,300324.SZ,4.45,4.48,4.23,4.29,4.5,-0.20999999999999996,-4.6667,888462.11,383756.932,7.0868,4.54,1347457.948,4.488,1430101.683,4.0175,978638.35,3.7737,733896.667,3.5958,513629.953,3.5984,481037.4067,,
22,20210625,300324.SZ,4.8,4.91,4.47,4.5,4.91,-0.41000000000000014,-8.3503,1467418.85,679630.142,11.7048,4.638,1476178.616,4.456,1472727.705,3.972,952678.662,3.7433,713386.536,3.5845,506280.7485,3.5977,476320.4185,,
23,20210624,300324.SZ,4.45,5.13,4.37,4.91,4.4,0.5099999999999998,11.5909,2102726.62,993522.762,16.7723,4.67,1529854.512,4.385,1425341.649,3.9145,888624.321,3.7033,673569.5503,3.5713,490186.7458,3.5944,467636.1721,,
24,20210623,300324.SZ,4.54,4.54,4.36,4.4,4.6,-0.1999999999999993,-4.3478,1209509.11,536670.364,9.6476,4.556,1373342.47,4.254,1257841.623,3.836,797969.355,3.6497,610309.823,3.5512,463540.7775,3.5897,452325.2954,,
25,20210622,300324.SZ,4.85,4.85,4.56,4.6,4.78,-0.1800000000000006,-3.7657,1069173.05,497127.705,8.5282,4.542,1474693.502,4.175,1196178.702,3.782,750430.788,3.6127,577222.7517,3.54,450801.3003,3.5893,444669.0494,,
