,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
0,20210507,000638.SZ,5.18,5.18,4.94,4.96,5.18,-0.21999999999999975,-4.2471,92942.0,46627.609,3.0039,5.021,89156.859,4.9135,77751.4915,4.8337,67285.5983,4.9392,68474.7343,5.6619,91020.5382,5.4251,108118.4415
1,20210506,000638.SZ,5.12,5.26,5.07,5.18,5.15,0.02999999999999936,0.5825,110417.02,57081.028,3.5687,5.035,90994.261,4.898,74826.4415,4.8377,65734.0317,4.9333,67807.1847,5.6755,91471.8982,5.4221,107843.9495
2,20210430,000638.SZ,5.0,5.25,4.93,5.15,5.01,0.14000000000000057,2.7944,114721.0,58301.389,3.7079,5.038,100019.662,4.868,72141.141,4.834,63214.0643,4.9225,66898.1738,5.6853,91205.5932,5.4185,107518.2674
3,20210429,000638.SZ,4.95,5.29,4.92,5.01,5.13,-0.1200000000000001,-2.3392,118407.6,60000.598,3.827,5.022,96560.619,4.8455,70458.1485,4.8313,60400.447,4.9132,65600.3072,5.6951,91015.5266,5.4149,107207.6714
4,20210428,000638.SZ,4.87,5.4,4.76,5.13,4.91,0.21999999999999975,4.4807,163801.93,83943.093,5.2942,4.991,90208.311,4.826,66278.1685,4.8357,57753.3277,4.9077,64238.9138,5.7068,90743.0967,5.4122,106897.437
5,20210427,000638.SZ,4.79,4.97,4.65,4.91,4.82,0.08999999999999986,1.8672,73783.01,35391.78,2.3847,4.939,76591.365,4.8,59760.072,4.838,54128.9877,4.9012,62173.9317,5.7172,90218.5697,5.4091,106365.7773
6,20210426,000638.SZ,4.9,4.98,4.8,4.82,4.89,-0.0699999999999994,-1.4315,41960.0,20513.727,1.3562,4.904,72073.864,4.79,57917.445,4.8473,53697.85,4.901,61784.1985,5.7288,90712.6191,5.4072,106187.1985
7,20210423,000638.SZ,5.0,5.04,4.89,4.89,5.08,-0.1900000000000004,-3.7402,53077.0,26176.982,1.7155,4.889,71516.964,4.7835,57766.9685,4.86,56600.5833,4.9048,61884.6502,5.7444,91589.7509,5.4055,106184.4825
8,20210422,000638.SZ,5.02,5.13,5.02,5.08,5.08,0.0,0.0,44406.02,22504.673,1.4352,4.869,68286.066,4.771,56681.8695,4.8787,56204.8973,4.9085,61995.7897,5.7581,92322.5912,5.404,106118.36
9,20210421,000638.SZ,5.06,5.19,5.03,5.08,5.1,-0.019999999999999574,-0.3922,78053.01,39898.108,2.5227,4.831,67635.666,4.753,56607.1685,4.8867,56061.2633,4.9085,61974.6227,5.7721,93168.4411,5.4013,106063.4698
10,20210420,000638.SZ,5.16,5.21,5.06,5.1,5.21,-0.11000000000000032,-2.1113,111316.02,57119.703,3.5978,4.806,66346.124,4.74,56349.968,4.8947,55426.854,4.9087,61616.8847,5.7885,93527.7267,5.3987,105941.7414
11,20210419,000638.SZ,4.99,5.49,4.85,5.21,4.99,0.21999999999999975,4.4088,200671.03,104866.228,6.4858,4.761,58658.622,4.739,53103.917,4.9097,53315.7543,4.9078,60722.0177,5.8044,93832.9043,,
12,20210416,000638.SZ,4.7,4.99,4.66,4.99,4.7,0.29000000000000004,6.1702,80130.57,39000.917,2.5899,4.698,44262.62,4.732,44811.2655,4.92,49545.5867,4.9027,58916.3672,5.8207,94151.0967,,
13,20210415,000638.SZ,4.73,4.78,4.66,4.7,4.61,0.08999999999999986,1.9523,54884.52,25956.69,1.7739,4.669,44355.678,4.736,42320.361,4.9323,49170.6343,4.8983,59782.626,5.8407,96626.474,,
14,20210414,000638.SZ,4.7,4.7,4.57,4.61,4.56,0.05000000000000071,1.0965,27632.47,12761.084,0.8931,4.661,42348.026,4.758,41525.836,4.954,50647.0837,4.9042,60272.2337,5.8607,97638.439,,
15,20210413,000638.SZ,4.7,4.7,4.56,4.56,4.67,-0.11000000000000032,-2.3555,28608.0,13176.486,0.9246,4.661,42928.779,4.7875,42897.799,4.9833,52509.7473,4.9148,60783.7185,5.8787,98866.2852,,
16,20210412,000638.SZ,4.72,4.78,4.65,4.67,4.69,-0.020000000000000462,-0.4264,36391.0,17165.49,1.1762,4.676,43761.026,4.819,44509.843,5.0233,54710.7767,4.9263,61646.9352,5.8996,100109.0269,,
17,20210409,000638.SZ,4.74,4.74,4.66,4.69,4.7,-0.009999999999999787,-0.2128,20768.02,9740.645,0.6712,4.678,44016.973,4.8455,49142.393,5.0593,57835.29,4.941,61956.031,5.9202,102280.6732,,
