,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
0,20210723,600593.SH,16.59,16.59,16.59,16.59,17.46,-0.870000000000001,-4.9828,11705.0,19418.595,0.9088,18.936,53939.273,20.3935,38705.451,21.213,34097.0067,22.389,39155.6853,22.4327,49723.0702,30.1053,36097.2014
1,20210722,600593.SH,17.46,17.46,17.46,17.46,18.38,-0.9199999999999982,-5.0054,241.0,420.786,0.0187,19.335,55146.173,20.6785,39257.702,21.4607,34723.9067,22.499,39381.1097,22.4608,50011.7935,30.1978,36096.5726
2,20210713,600593.SH,18.71,19.3,18.28,18.38,18.66,-0.28000000000000114,-1.5005,71908.2,134352.033,5.5829,19.707,58091.153,20.921,40278.252,21.6953,35946.207,22.5955,40098.5132,22.4749,50253.5468,30.2866,36133.0687
3,20210712,600593.SH,18.3,19.11,18.01,18.66,18.3,0.35999999999999943,1.9672,61670.6,115067.963,4.7881,19.995,53059.433,21.107,37808.752,21.9217,34676.867,22.6785,39847.9112,22.4831,50107.0386,30.3733,35875.0215
4,20210709,600593.SH,16.88,19.24,16.82,18.3,17.82,0.4800000000000004,2.6936,112435.6,207857.507,8.7295,20.286,49264.535,21.2925,35833.74,22.1563,34429.2407,22.7373,39451.6845,22.4858,49939.5253,30.4626,35653.2279
5,20210708,600593.SH,19.1,19.5,17.82,17.82,19.8,-1.9800000000000004,-10.0,102729.5,184281.876,7.9759,20.625,40486.676,21.5115,31572.03,22.395,32293.1873,22.794,38186.6245,22.4917,49386.1611,,
6,20210707,600593.SH,20.76,20.79,19.8,19.8,20.82,-1.0199999999999996,-4.8991,42500.83,86025.301,3.2998,21.045,32047.526,21.771,27925.515,22.6187,30418.1373,22.8625,36924.5995,22.4986,48919.6273,,
7,20210706,600593.SH,20.9,21.32,20.6,20.82,20.99,-0.16999999999999815,-0.8099,42841.0,89842.897,3.3262,21.328,29989.543,21.925,26961.7235,22.7763,30747.277,22.901,36787.869,22.4905,49011.2488,,
8,20210705,600593.SH,20.53,21.45,20.34,20.99,20.54,0.4499999999999993,2.1908,61288.0,128280.957,4.7584,21.519,28377.358,22.0545,26017.8735,22.9127,31212.1303,22.9222,36652.935,22.4752,49244.0138,,
9,20210702,600593.SH,20.58,21.01,20.0,20.54,20.58,-0.03999999999999915,-0.1944,32073.0,65948.528,2.4901,21.662,24596.314,22.1845,24190.6235,23.003,30960.7173,22.9465,36165.9183,22.454,49056.1388,,
10,20210701,600593.SH,21.16,21.24,20.17,20.58,21.18,-0.6000000000000014,-2.8329,23774.0,49999.306,1.8458,21.851,23471.629,22.3515,24175.8735,23.0833,31145.1317,22.9833,36250.5517,22.4387,49213.199,,
11,20210630,600593.SH,21.25,21.26,20.71,21.18,21.26,-0.08000000000000185,-0.3763,29690.8,62249.215,2.3052,22.022,23369.231,22.5235,24512.7735,23.144,31074.1017,23.0225,36462.1185,22.424,49507.6323,,
12,20210629,600593.SH,21.56,21.69,21.19,21.26,21.57,-0.3099999999999987,-1.4372,21591.0,46088.389,1.6763,22.135,22465.351,22.6895,24873.734,23.187,30884.375,23.0408,36461.9452,22.4023,49654.2172,,
13,20210628,600593.SH,21.69,21.88,21.42,21.57,21.69,-0.120000000000001,-0.5533,23721.62,51291.416,1.8417,22.219,22558.071,22.885,25485.584,23.2247,30925.7417,23.0537,36749.1685,22.3825,49792.8455,,
14,20210625,600593.SH,22.02,22.09,21.61,21.69,22.02,-0.3299999999999983,-1.4986,24657.01,53728.866,1.9144,22.299,22402.945,23.0915,27011.5935,23.2787,30937.521,23.0742,37139.8415,22.366,50018.8548,,
15,20210624,600593.SH,22.62,22.69,21.92,22.02,22.63,-0.6099999999999994,-2.6955,18338.0,40747.45,1.4238,22.398,22657.384,23.28,28196.443,23.3437,30898.654,23.0935,37436.8413,22.3481,50292.4248,,
16,20210623,600593.SH,22.7,22.95,22.47,22.63,22.73,-0.10000000000000142,-0.4399,21921.0,49690.017,1.7019,22.497,23803.504,23.4055,29603.443,23.412,31958.6207,23.1068,37774.9147,22.3265,50606.4316,,
17,20210622,600593.SH,22.41,22.79,22.26,22.73,22.42,0.3099999999999987,1.3827,26719.15,60201.965,2.0745,22.522,23933.904,23.5005,31126.144,23.4603,32552.154,23.1093,38115.1648,22.2983,50887.0777,,
18,20210621,600593.SH,22.41,22.57,22.05,22.42,22.43,-0.00999999999999801,-0.0446,23477.56,52335.655,1.8228,22.59,23658.389,23.6095,32629.5165,23.5113,32927.485,23.1302,38551.688,22.2756,51184.9332,,
19,20210618,600593.SH,22.29,22.48,22.06,22.43,22.29,0.14000000000000057,0.6281,20826.15,46377.317,1.6169,22.707,23784.933,23.6735,34142.919,23.5713,34944.5333,23.1615,39505.062,22.2592,51618.4653,,
20,20210617,600593.SH,22.26,22.67,21.95,22.29,22.31,-0.019999999999999574,-0.0896,22750.02,50678.364,1.7663,22.852,24880.118,23.6995,34981.883,23.6093,36327.0487,23.1897,40911.5128,22.2452,52119.4578,,
