,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
0,20210430,600093.SH,5.93,5.93,5.93,5.93,6.59,-0.6600000000000001,-10.0152,35594.0,21107.242,0.3171,7.784,100663.23,8.019,111976.7125,8.038,121876.1107,7.8812,109707.8087,8.1548,105161.806,10.1746,132536.1461
1,20210429,600093.SH,6.59,6.59,6.59,6.59,7.32,-0.7300000000000004,-9.9727,53970.0,35566.23,0.4808,8.06,123601.711,8.1275,116505.5055,8.0973,122591.294,7.9103,110692.8852,8.1842,105394.1407,10.2034,133567.5505
2,20210428,600093.SH,8.03,8.08,7.32,7.32,8.13,-0.8100000000000005,-9.9631,187951.86,142338.481,1.6745,8.241,134901.175,8.214,122125.0565,8.1387,122566.886,7.9267,110694.1382,8.2089,105695.0186,10.2296,134631.968
3,20210427,600093.SH,8.02,8.2,8.02,8.13,8.02,0.11000000000000121,1.3716,63788.67,51700.314,0.5683,8.335,125012.746,8.2555,118468.6635,8.158,118622.9213,7.9307,108782.6855,8.2247,104905.9062,10.2511,135021.3635
4,20210426,600093.SH,8.03,8.16,7.9,8.02,8.04,-0.019999999999999574,-0.2488,69984.34,56187.107,0.6235,8.351,132713.334,8.264,123988.5835,8.145,118430.2177,7.9212,109201.8393,8.236,105060.5997,10.2708,136281.5553
5,20210423,600093.SH,8.39,8.4,8.04,8.04,8.42,-0.3800000000000008,-4.5131,125671.54,102367.54,1.1196,8.358,134325.233,8.283,135353.8865,8.1367,118344.923,7.9162,110139.3395,8.2513,104874.9003,10.2882,136580.9418
6,20210422,600093.SH,8.36,8.49,8.34,8.42,8.38,0.03999999999999915,0.4773,72100.64,60641.674,0.6424,8.36,127778.712,8.3085,143462.4435,8.1333,117049.5473,7.9158,110387.5095,8.267,104323.0444,10.3052,136474.0773
7,20210421,600093.SH,8.33,8.47,8.33,8.38,8.36,0.02000000000000135,0.2392,81706.43,68615.931,0.7279,8.328,131255.564,8.276,143119.0825,8.109,118271.519,7.9092,110720.1178,8.2799,104180.4559,10.3198,136513.3164
8,20210420,600093.SH,8.56,8.71,8.34,8.36,8.65,-0.2900000000000009,-3.3526,159044.62,135341.416,1.4169,8.313,132447.151,8.248,143958.095,8.0953,120267.364,7.9057,111878.5895,8.293,104374.4146,10.3352,136734.0163
9,20210419,600093.SH,8.63,8.67,8.51,8.65,8.69,-0.03999999999999915,-0.4603,156820.2,134790.693,1.3971,8.304,125971.768,8.2155,137829.654,8.0907,120315.0667,7.902,111246.7427,8.3087,103580.6941,,
10,20210416,600093.SH,8.34,9.18,8.33,8.69,8.4,0.28999999999999915,3.4524,264978.81,230644.641,2.3607,8.254,123290.195,8.165,132482.551,8.076,118537.6547,7.8948,110912.9382,8.3239,102701.2419,,
11,20210415,600093.SH,8.24,8.55,8.19,8.4,8.26,0.14000000000000057,1.6949,166964.64,140402.019,1.4875,8.195,109409.3,8.116,122086.0855,8.0567,112059.959,7.8875,109151.3722,8.3392,100884.4749,,
