,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
0,20210727,002750.SZ,7.14,7.25,7.04,7.06,7.14,-0.08000000000000007,-1.1204,22256.28,15925.858,0.5591,7.28,23466.364,7.388,25241.566,7.434,32096.226,7.4283,27683.902,7.6002,28311.6878,7.8297,33856.5506,8.3442,67867.5433
1,20210726,002750.SZ,7.43,7.43,7.03,7.14,7.34,-0.20000000000000018,-2.7248,32861.41,23688.293,0.8255,7.364,22753.576,7.422,24837.038,7.45,31734.0305,7.4443,27782.0593,7.6147,28712.483,7.8409,34133.0047,8.353,67997.2204
2,20210723,002750.SZ,7.39,7.42,7.33,7.34,7.4,-0.0600000000000005,-0.8108,19068.13,14030.224,0.479,7.438,20626.296,7.45,23376.397,7.4675,30823.078,7.462,27405.479,7.6245,28853.5095,7.8516,34773.1647,8.361,68260.6528
3,20210722,002750.SZ,7.46,7.48,7.36,7.4,7.46,-0.05999999999999961,-0.8043,22770.0,16834.281,0.572,7.466,20991.274,7.454,23400.784,7.4725,30509.2715,7.4727,27440.0767,7.6338,29280.1958,7.8643,35522.449,8.3709,68509.1193
4,20210721,002750.SZ,7.48,7.52,7.43,7.46,7.48,-0.020000000000000462,-0.2674,20376.0,15221.458,0.5118,7.48,20877.274,7.447,23826.483,7.4735,30238.2115,7.4817,27302.1433,7.6415,29414.0195,7.8792,36324.7835,8.382,68931.026
5,20210720,002750.SZ,7.45,7.54,7.44,7.48,7.51,-0.02999999999999936,-0.3995,18692.34,14020.21,0.4695,7.496,27016.768,7.441,24098.183,7.475,30020.8615,7.4893,27281.51,7.6482,29382.822,7.8936,37285.4872,8.3934,69301.1834
6,20210719,002750.SZ,7.5,7.56,7.4,7.51,7.48,0.02999999999999936,0.4011,22225.01,16657.276,0.5583,7.48,26920.5,7.439,24663.439,7.4755,30247.3945,7.4967,27211.5337,7.655,29472.9163,7.9097,38539.2988,8.4035,69670.745
7,20210716,002750.SZ,7.47,7.56,7.45,7.48,7.47,0.010000000000000675,0.1339,20893.02,15671.148,0.5248,7.462,26126.498,7.435,26663.536,7.4695,30095.1005,7.5023,27396.9033,7.6608,29767.8683,7.9238,39348.2027,8.4143,70216.1827
8,20210715,002750.SZ,7.5,7.51,7.41,7.47,7.54,-0.07000000000000028,-0.9284,22200.0,16538.159,0.5577,7.442,25810.294,7.452,30181.048,7.4625,30221.2375,7.5113,27443.3693,7.6687,30255.5155,7.9372,40593.9669,8.4236,70507.1561
9,20210714,002750.SZ,7.41,7.62,7.4,7.54,7.4,0.13999999999999968,1.8919,51073.47,38366.077,1.283,7.414,26775.692,7.483,39792.633,7.457,29943.5375,7.5203,27524.8427,7.6777,30362.1935,7.9522,42048.0397,8.4326,70923.5161
10,20210713,002750.SZ,7.39,7.42,7.37,7.4,7.42,-0.019999999999999574,-0.2695,18211.0,13449.163,0.4575,7.386,21179.598,7.48,38950.886,7.4485,28905.07,7.529,26547.0267,7.6853,30349.3443,7.9613,42389.0058,8.4411,71198.5392
11,20210712,002750.SZ,7.4,7.45,7.36,7.42,7.38,0.040000000000000036,0.542,18255.0,13528.627,0.4586,7.398,22406.378,7.478,38631.023,7.4555,29254.57,7.5423,26990.56,7.6927,30314.2895,7.9704,42784.3554,,
12,20210709,002750.SZ,7.33,7.39,7.29,7.38,7.33,0.04999999999999982,0.6821,19312.0,14163.185,0.4851,7.408,27200.574,7.485,38269.759,7.468,29420.02,7.555,27276.9933,7.6987,30428.4895,7.978,43456.1192,,
13,20210708,002750.SZ,7.42,7.42,7.3,7.33,7.4,-0.07000000000000028,-0.9459,27026.99,19812.32,0.6789,7.462,34551.802,7.491,37617.759,7.482,29459.723,7.5713,27645.7413,7.7075,30420.1773,7.99,44388.8508,,
14,20210707,002750.SZ,7.43,7.45,7.38,7.4,7.46,-0.05999999999999961,-0.8043,23093.0,17102.502,0.5801,7.552,52809.574,7.5,36649.94,7.499,29039.9735,7.5907,28372.6863,7.7185,30333.1928,8.0056,46057.5216,,
